timeStemp,Label,Dist_mm_1,Dist_mm_2,Dist_mm_3,Dist_mm_4,RSSI_1,RSSI_2,RSSI_3,RSSI_4,Std_mm_1,Std_mm_2,Std_mm_3,Std_mm_4
665587392,1-1,3999.0,6987.0,-421.0,9980.0,-61.0,-71.0,-43.0,-62.0,1148.0,2068.0,1588.0,1495.0
665588682,1-1,4155.0,8862.0,-342.0,10518.0,-61.0,-71.0,-47.0,-64.0,1071.0,1731.0,1373.0,958.0
665585016,1-1,3960.0,8715.0,-333.0,10557.0,-61.0,-71.0,-47.0,-64.0,1129.0,1465.0,1466.0,1222.0
665588843,1-1,3921.0,7163.0,-333.0,10557.0,-61.0,-71.0,-47.0,-63.0,1131.0,2130.0,1467.0,1101.0
665584344,1-1,4116.0,8335.0,-342.0,10479.0,-60.0,-70.0,-43.0,-64.0,1135.0,1796.0,1288.0,1125.0
665583775,1-1,4038.0,6782.0,-342.0,10596.0,-61.0,-71.0,-47.0,-64.0,1098.0,2247.0,1470.0,1142.0
665586043,1-1,4155.0,9096.0,-342.0,10557.0,-61.0,-71.0,-48.0,-64.0,1100.0,1218.0,1514.0,1094.0
665584465,1-1,4116.0,6811.0,-381.0,10322.0,-55.0,-72.0,-43.0,-65.0,1260.0,2310.0,1563.0,1207.0
665588474,1-1,,,-421.0,,,,-47.0,,,,1522.0,
665588128,1-1,4194.0,8276.0,-303.0,10557.0,-61.0,-71.0,-47.0,-63.0,965.0,1699.0,1452.0,933.0
665584128,1-1,3999.0,6987.0,-342.0,10557.0,-61.0,-72.0,-47.0,-63.0,1103.0,2109.0,1397.0,915.0
665585446,1-1,4038.0,8188.0,-381.0,10439.0,-61.0,-71.0,-47.0,-62.0,1217.0,1720.0,1521.0,1107.0
665588548,1-1,4077.0,8247.0,-421.0,10518.0,-60.0,-72.0,-47.0,-64.0,1035.0,1732.0,1412.0,972.0
665587778,1-1,4038.0,8862.0,-333.0,10635.0,-61.0,-71.0,-42.0,-60.0,1074.0,1456.0,1448.0,1456.0
665588915,1-1,4155.0,8188.0,-381.0,10596.0,-61.0,-71.0,-48.0,-64.0,997.0,1765.0,1488.0,1027.0
665589080,1-1,4155.0,7075.0,-381.0,10635.0,-61.0,-71.0,-47.0,-64.0,982.0,2088.0,1522.0,1019.0
665584408,1-1,4038.0,9331.0,-225.0,10596.0,-60.0,-71.0,-47.0,-65.0,1102.0,1094.0,1499.0,1289.0
665586822,1-1,4038.0,6841.0,-342.0,10557.0,-61.0,-72.0,-47.0,-64.0,1113.0,2231.0,1516.0,1083.0
665588490,1-1,4155.0,8862.0,-303.0,10518.0,-60.0,-71.0,-47.0,-64.0,1027.0,1469.0,1464.0,988.0
665584436,1-1,4155.0,6899.0,-264.0,10479.0,-60.0,-71.0,-47.0,-64.0,1001.0,2321.0,1387.0,1288.0
