Label,Pos_X,Pos_Y,Diff_RSSI,Diff_RTT
1-1,0.00,0.00,4.56,453.33
1-10,-5.40,0.00,1.23,2390.71
1-11,-6.00,0.00,0.64,178.89
1-2,-0.60,0.00,-3.00,888.99
1-3,-1.20,0.00,-1.07,590.19
1-4,-1.80,0.00,-1.70,-331.16
1-5,-2.40,0.00,1.31,-38.12
1-6,-3.00,0.00,-1.05,-133.83
1-7,-3.60,0.00,1.00,69.51
1-8,-4.20,0.00,1.33,92.21
1-9,-4.80,0.00,0.65,55.15
10-1,0.00,5.40,-0.80,-152.53
10-11,-6.00,5.40,-1.16,381.70
11-1,0.00,6.00,3.37,-451.52
11-10,-5.40,6.00,3.74,-2458.68
11-11,-6.00,6.00,4.40,-215.00
11-2,-0.60,6.00,-4.13,-877.88
11-3,-1.20,6.00,-0.99,-90.60
11-4,-1.80,6.00,-0.41,-1192.58
11-5,-2.40,6.00,-1.71,1459.44
11-6,-3.00,6.00,-4.78,-172.44
11-7,-3.60,6.00,1.19,-472.30
11-8,-4.20,6.00,-0.25,526.82
11-9,-4.80,6.00,5.22,37.85
2-1,0.00,0.60,0.68,-102.35
2-11,-6.00,0.60,-2.29,-134.08
3-1,0.00,1.20,-6.15,-138.45
3-11,-6.00,1.20,3.21,863.77
4-1,0.00,1.80,1.53,-204.99
4-11,-6.00,1.80,-1.25,886.36
5-1,0.00,2.40,2.06,-104.08
5-11,-6.00,2.40,-0.90,-249.93
6-1,0.00,3.00,4.96,2515.62
6-10,-5.40,3.00,3.64,366.85
6-11,-6.00,3.00,-0.22,-253.77
6-2,-0.60,3.00,4.09,975.25
6-3,-1.20,3.00,2.26,168.16
6-4,-1.80,3.00,-3.04,-207.52
6-5,-2.40,3.00,7.67,-957.78
6-6,-3.00,3.00,2.95,-6.76
6-7,-3.60,3.00,-2.40,-1082.20
6-8,-4.20,3.00,2.64,-134.09
6-9,-4.80,3.00,2.17,-264.34
7-1,0.00,3.60,-2.48,479.91
7-11,-6.00,3.60,1.74,76.34
8-1,0.00,4.20,5.79,-26.43
8-11,-6.00,4.20,1.17,-445.45
9-1,0.00,4.80,-3.54,80.39
9-11,-6.00,4.80,-0.62,-1946.10
1-1,0.00,0.00,-6.67,3705.41
1-10,-5.40,0.00,-3.57,-1458.55
1-11,-6.00,0.00,-1.77,-675.12
1-2,-0.60,0.00,-7.20,318.53
1-3,-1.20,0.00,-7.38,481.12
1-4,-1.80,0.00,-5.63,738.62
1-5,-2.40,0.00,-2.65,-6151.27
1-6,-3.00,0.00,-2.05,495.84
