Label,Pos_X,Pos_Y,Diff_RSSI,Diff_RTT
1-1,0.00,0.00,3.10,396.99
1-10,-5.40,0.00,1.62,-190.39
1-11,-6.00,0.00,-1.68,785.02
1-2,-0.60,0.00,-10.02,1179.81
1-3,-1.20,0.00,2.42,515.11
1-4,-1.80,0.00,0.15,-235.34
1-5,-2.40,0.00,1.07,236.90
1-6,-3.00,0.00,-1.62,240.66
1-7,-3.60,0.00,2.74,30.77
1-8,-4.20,0.00,0.50,53.77
1-9,-4.80,0.00,-1.78,-346.81
10-1,0.00,5.40,-2.92,-355.94
10-11,-6.00,5.40,-3.67,472.79
11-1,0.00,6.00,5.55,-376.22
11-10,-5.40,6.00,-0.22,-1951.62
11-11,-6.00,6.00,1.51,-25.26
11-2,-0.60,6.00,-3.54,-941.13
11-3,-1.20,6.00,-3.76,111.15
11-4,-1.80,6.00,2.28,-618.05
11-5,-2.40,6.00,-1.06,877.23
11-6,-3.00,6.00,4.39,113.98
11-7,-3.60,6.00,-1.93,-1298.30
11-8,-4.20,6.00,-0.13,359.44
11-9,-4.80,6.00,3.45,271.47
2-1,0.00,0.60,1.10,-114.96
2-11,-6.00,0.60,-3.69,1361.80
3-1,0.00,1.20,-1.70,-437.31
3-11,-6.00,1.20,3.53,661.64
4-1,0.00,1.80,3.25,242.75
4-11,-6.00,1.80,-2.16,2576.12
5-1,0.00,2.40,4.41,-213.29
5-11,-6.00,2.40,0.64,-181.37
6-1,0.00,3.00,-0.88,-384.33
6-10,-5.40,3.00,3.89,424.55
6-11,-6.00,3.00,-1.43,35.80
6-2,-0.60,3.00,-3.71,52.94
6-3,-1.20,3.00,-0.12,202.54
6-4,-1.80,3.00,-2.82,-342.85
6-5,-2.40,3.00,6.37,-2411.35
6-6,-3.00,3.00,2.91,-124.31
6-7,-3.60,3.00,-2.78,-872.31
6-8,-4.20,3.00,2.68,-159.14
6-9,-4.80,3.00,-1.44,-394.06
7-1,0.00,3.60,-0.49,326.44
7-11,-6.00,3.60,2.02,720.10
8-1,0.00,4.20,3.24,-108.76
8-11,-6.00,4.20,-2.32,226.64
9-1,0.00,4.80,1.29,-189.41
9-11,-6.00,4.80,-1.72,-2135.85
1-1,0.00,0.00,-4.57,-213.58
1-10,-5.40,0.00,0.63,-109.77
1-11,-6.00,0.00,-5.52,-295.74
1-2,-0.60,0.00,-6.13,1519.65
1-3,-1.20,0.00,-10.25,409.89
1-4,-1.80,0.00,-2.06,715.83
1-5,-2.40,0.00,-3.04,-6215.12
1-6,-3.00,0.00,-5.28,2952.56
1-7,-3.60,0.00,-0.99,266.45
1-8,-4.20,0.00,1.95,-207.61
1-9,-4.80,0.00,-4.87,363.60
10-1,0.00,5.40,1.16,903.94
10-11,-6.00,5.40,-0.83,130.19
11-1,0.00,6.00,-0.65,45.67
11-10,-5.40,6.00,8.62,-1260.29
11-11,-6.00,6.00,-3.68,-2119.04
11-2,-0.60,6.00,-2.90,1227.69
11-3,-1.20,6.00,6.59,-935.72
11-4,-1.80,6.00,-0.32,227.11
11-5,-2.40,6.00,7.56,-471.48
11-6,-3.00,6.00,3.16,30.78
11-7,-3.60,6.00,4.86,483.40
11-8,-4.20,6.00,3.00,396.78
11-9,-4.80,6.00,5.27,-2045.21
2-1,0.00,0.60,-1.81,179.97
2-11,-6.00,0.60,2.16,302.08
3-1,0.00,1.20,2.27,507.24
3-11,-6.00,1.20,2.33,-232.94
4-1,0.00,1.80,-1.09,-102.61
4-11,-6.00,1.80,4.25,-338.96
5-1,0.00,2.40,1.89,-371.45
5-11,-6.00,2.40,1.92,-552.57
6-1,0.00,3.00,-3.88,-40.74
6-10,-5.40,3.00,2.47,-1228.64
6-11,-6.00,3.00,-2.70,1405.55
6-2,-0.60,3.00,-4.88,367.22
6-3,-1.20,3.00,0.34,59.50
6-4,-1.80,3.00,0.11,-365.02
