AP_ID,Label,Pos_X,Pos_Y,RSSI_Base,RSSI_Comp,Shift_RSSI,Dist_mm_Base,Dist_mm_Comp,Shift_RTT
AP1,1-1,0.00,0.00,-60.64,-57.76,2.88,3319.20,3504.30,185.10
AP1,1-10,-5.40,0.00,-55.58,-51.56,4.02,-53.93,-525.37,-471.44
AP1,1-11,-6.00,0.00,-51.19,-52.71,-1.52,-362.32,-728.32,-365.99
AP1,1-2,-0.60,0.00,-55.90,-51.49,4.41,2512.96,3630.79,1117.83
AP1,1-3,-1.20,0.00,-58.03,-59.91,-1.88,2254.76,2480.32,225.56
AP1,1-4,-1.80,0.00,-56.34,-63.37,-7.03,2063.26,1438.25,-625.01
AP1,1-5,-2.40,0.00,-54.94,-51.52,3.42,1454.59,1462.63,8.03
AP1,1-6,-3.00,0.00,-52.81,-54.38,-1.57,791.79,779.05,-12.74
AP1,1-7,-3.60,0.00,-56.75,-51.66,5.09,474.77,547.77,73.00
AP1,1-8,-4.20,0.00,-56.44,-62.11,-5.67,-251.75,-122.68,129.07
AP1,1-9,-4.80,0.00,-56.19,-52.78,3.40,-525.38,-748.59,-223.20
AP1,10-1,0.00,5.40,-68.76,-68.51,0.25,6685.77,7499.98,814.21
AP1,10-11,-6.00,5.40,-62.79,-67.44,-4.65,2442.11,2460.53,18.42
AP1,11-1,0.00,6.00,-72.35,-65.69,6.67,5348.73,5643.60,294.87
AP1,11-10,-5.40,6.00,-68.55,-61.61,6.93,7797.37,3551.14,-4246.23
AP1,11-11,-6.00,6.00,-68.26,-67.79,0.47,2892.66,2890.29,-2.37
AP1,11-2,-0.60,6.00,-68.91,-67.48,1.43,6657.07,6530.86,-126.21
AP1,11-3,-1.20,6.00,-68.17,-64.72,3.45,5055.81,5015.73,-40.08
AP1,11-4,-1.80,6.00,-71.38,-65.10,6.28,6000.55,6825.48,824.94
AP1,11-5,-2.40,6.00,-61.71,-66.28,-4.58,6232.13,4553.73,-1678.40
AP1,11-6,-3.00,6.00,-66.99,-65.91,1.08,4055.08,4915.02,859.94
AP1,11-7,-3.60,6.00,-67.20,-63.71,3.49,5417.89,4657.92,-759.97
AP1,11-8,-4.20,6.00,-66.78,-65.03,1.76,3459.81,3509.59,49.78
AP1,11-9,-4.80,6.00,-69.26,-69.53,-0.27,3195.15,3868.24,673.08
AP1,2-1,0.00,0.60,-57.75,-54.53,3.22,3797.55,3918.32,120.77
AP1,2-11,-6.00,0.60,-42.42,-44.39,-1.97,-1358.71,-1283.54,75.17
AP1,3-1,0.00,1.20,-59.07,-61.36,-2.30,4132.45,3922.47,-209.98
AP1,3-11,-6.00,1.20,-55.88,-58.61,-2.73,-1181.43,-1112.88,68.55
AP1,4-1,0.00,1.80,-67.07,-67.45,-0.38,4667.98,5287.36,619.38
AP1,4-11,-6.00,1.80,-54.01,-56.88,-2.87,-1885.27,653.32,2538.59
AP1,5-1,0.00,2.40,-62.90,-64.11,-1.21,2991.44,5367.89,2376.45
AP1,5-11,-6.00,2.40,-55.03,-57.02,-2.00,-107.06,-412.49,-305.43
AP1,6-1,0.00,3.00,-65.02,-69.49,-4.47,5066.09,3377.12,-1688.96
AP1,6-10,-5.40,3.00,-61.03,-55.78,5.25,-243.10,-293.30,-50.20
AP1,6-11,-6.00,3.00,-59.82,-60.59,-0.77,362.05,23.09,-338.96
AP1,6-2,-0.60,3.00,-63.10,-61.76,1.34,2515.94,3187.48,671.55
AP1,6-3,-1.20,3.00,-62.36,-63.81,-1.45,2520.07,2126.42,-393.65
AP1,6-4,-1.80,3.00,-58.06,-59.20,-1.14,2924.16,2582.20,-341.96
AP1,6-5,-2.40,3.00,-70.03,-59.31,10.72,3758.89,2547.11,-1211.78
AP1,6-6,-3.00,3.00,-60.82,-62.55,-1.73,1264.28,1857.15,592.88
AP1,6-7,-3.60,3.00,-55.52,-57.65,-2.13,1658.92,456.16,-1202.76
AP1,6-8,-4.20,3.00,-57.61,-55.78,1.83,387.47,223.89,-163.58
AP1,6-9,-4.80,3.00,-58.61,-60.43,-1.82,649.05,-362.59,-1011.64
AP1,7-1,0.00,3.60,-61.30,-62.15,-0.85,4087.15,4009.49,-77.65
AP1,7-11,-6.00,3.60,-68.76,-63.85,4.91,-5.41,557.37,562.78
AP1,8-1,0.00,4.20,-66.81,-62.34,4.47,5222.80,4081.11,-1141.70
AP1,8-11,-6.00,4.20,-60.56,-56.53,4.03,2348.74,3295.96,947.22
AP1,9-1,0.00,4.80,-65.92,-74.31,-8.38,5538.73,5983.51,444.78
AP1,9-11,-6.00,4.80,-62.73,-57.86,4.87,5070.29,2467.19,-2603.10
AP2,1-1,0.00,0.00,-63.66,-64.87,-1.21,6629.05,6417.22,-211.83
AP2,1-10,-5.40,0.00,-64.02,-69.66,-5.65,8319.75,8280.21,-39.54
AP2,1-11,-6.00,0.00,-63.63,-60.71,2.92,8229.58,7772.64,-456.95
AP2,1-2,-0.60,0.00,-61.35,-74.30,-12.95,7202.35,7145.92,-56.42
AP2,1-3,-1.20,0.00,-63.94,-68.46,-4.52,6884.15,6531.62,-352.53
AP2,1-4,-1.80,0.00,-63.07,-66.56,-3.49,6525.22,6746.58,221.36
AP2,1-5,-2.40,0.00,-65.58,-67.75,-2.17,13086.36,6731.83,-6354.53
AP2,1-6,-3.00,0.00,-69.40,-70.96,-1.56,6650.75,7276.19,625.44
AP2,1-7,-3.60,0.00,-64.59,-62.02,2.58,6361.00,6788.76,427.76
AP2,1-8,-4.20,0.00,-71.37,-67.84,3.52,6939.25,6743.51,-195.74
AP2,1-9,-4.80,0.00,-61.94,-60.69,1.26,6664.22,7320.44,656.22
AP2,10-1,0.00,5.40,-54.10,-51.98,2.12,414.85,1106.81,691.96
AP2,10-11,-6.00,5.40,-63.43,-65.16,-1.73,4070.82,3876.62,-194.20
AP2,11-1,0.00,6.00,-48.57,-53.62,-5.05,415.45,298.05,-117.40
AP2,11-10,-5.40,6.00,-68.87,-64.60,4.27,5167.60,4424.41,-743.18
AP2,11-11,-6.00,6.00,-63.40,-63.45,-0.05,7449.73,5647.64,-1802.09
AP2,11-2,-0.60,6.00,-51.06,-54.33,-3.26,-932.31,274.19,1206.49
AP2,11-3,-1.20,6.00,-57.68,-52.78,4.90,1083.27,-551.02,-1634.29
AP2,11-4,-1.80,6.00,-52.83,-63.94,-11.12,517.87,144.68,-373.19
AP2,11-5,-2.40,6.00,-53.67,-52.03,1.64,913.33,-33.55,-946.88
AP2,11-6,-3.00,6.00,-53.16,-55.53,-2.37,1373.90,-108.76,-1482.67
AP2,11-7,-3.60,6.00,-60.38,-55.03,5.35,1504.79,1258.43,-246.36
AP2,11-8,-4.20,6.00,-59.61,-61.62,-2.01,2028.87,2411.88,383.00
AP2,11-9,-4.80,6.00,-63.39,-62.41,0.97,4777.81,3231.62,-1546.18
AP2,2-1,0.00,0.60,-60.08,-64.39,-4.30,6178.49,6509.74,331.24
AP2,2-11,-6.00,0.60,-73.29,-68.98,4.31,6743.56,7756.07,1012.51
AP2,3-1,0.00,1.20,-66.43,-65.09,1.34,4799.79,5378.17,578.38
AP2,3-11,-6.00,1.20,-64.17,-66.89,-2.72,6922.51,7059.16,136.65
AP2,4-1,0.00,1.80,-64.98,-60.52,4.46,4707.74,5161.57,453.83
AP2,4-11,-6.00,1.80,-65.80,-62.34,3.46,6639.60,6893.67,254.07
AP2,5-1,0.00,2.40,-64.97,-56.38,8.59,3703.29,4984.68,1281.39
AP2,5-11,-6.00,2.40,-69.21,-66.86,2.36,6345.30,6479.65,134.35
AP2,6-1,0.00,3.00,-65.38,-63.22,2.16,3255.88,3490.52,234.64
AP2,6-10,-5.40,3.00,-65.53,-73.50,-7.98,7056.74,5877.98,-1178.76
AP2,6-11,-6.00,3.00,-63.20,-60.73,2.47,5297.43,6525.46,1228.04
AP2,6-2,-0.60,3.00,-62.35,-62.65,-0.30,3916.51,5367.06,1450.54
AP2,6-3,-1.20,3.00,-65.14,-69.50,-4.36,3473.24,3762.77,289.53
AP2,6-4,-1.80,3.00,-62.50,-63.80,-1.31,3851.23,3859.97,8.75
AP2,6-5,-2.40,3.00,-59.19,-65.71,-6.51,3395.25,4017.52,622.27
AP2,6-6,-3.00,3.00,-61.00,-55.94,5.06,3578.73,3601.20,22.47
AP2,6-7,-3.60,3.00,-64.17,-70.41,-6.24,5078.91,3587.46,-1491.46
AP2,6-8,-4.20,3.00,-61.01,-58.88,2.13,4862.56,5363.84,501.28
AP2,6-9,-4.80,3.00,-58.38,-63.78,-5.40,7447.84,5666.40,-1781.44
AP2,7-1,0.00,3.60,-63.87,-63.87,0.01,3162.93,3891.09,728.15
AP2,7-11,-6.00,3.60,-65.54,-63.39,2.15,6119.33,5127.27,-992.07
AP2,8-1,0.00,4.20,-56.29,-54.26,2.03,2143.23,1916.48,-226.75
AP2,8-11,-6.00,4.20,-65.22,-64.42,0.80,4747.49,5205.51,458.02
AP2,9-1,0.00,4.80,-57.54,-55.85,1.69,2331.54,1266.12,-1065.42
AP2,9-11,-6.00,4.80,-66.14,-66.43,-0.29,3856.02,4334.15,478.13
AP3,1-1,0.00,0.00,-52.41,-50.38,2.03,-934.04,-818.11,115.94
AP3,1-10,-5.40,0.00,-60.89,-57.73,3.16,3250.66,4014.19,763.52
AP3,1-11,-6.00,0.00,-62.52,-56.78,5.74,3085.93,4089.14,1003.21
AP3,1-2,-0.60,0.00,-50.45,-49.51,0.95,-951.98,-817.00,134.98
AP3,1-3,-1.20,0.00,-43.74,-42.87,0.87,-757.68,-687.02,70.66
AP3,1-4,-1.80,0.00,-46.52,-47.53,-1.01,-653.96,-820.22,-166.25
AP3,1-5,-2.40,0.00,-47.74,-52.65,-4.91,986.49,-204.78,-1191.28
AP3,1-6,-3.00,0.00,-57.42,-53.42,4.00,1115.55,836.71,-278.84
AP3,1-7,-3.60,0.00,-52.54,-54.09,-1.55,3549.00,1947.91,-1601.09
AP3,1-8,-4.20,0.00,-58.35,-58.48,-0.13,2163.39,1529.29,-634.10
AP3,1-9,-4.80,0.00,-57.85,-57.47,0.38,2439.92,1843.64,-596.27
AP3,10-1,0.00,5.40,-64.23,-63.14,1.09,2108.15,2775.39,667.23
