Position_ID,Label,Pos_X,Pos_Y,RSSI_Single,RSSI_Full,Diff_RSSI,Dist_mm_Single,Dist_mm_Full,Diff_RTT
Pos1,1-1,0.00,0.00,-62.23,-60.63,1.59,5864.07,3318.71,-2545.36
Pos1,1-10,-5.40,0.00,-53.37,-55.58,-2.21,1036.21,-54.03,-1090.23
Pos1,1-11,-6.00,0.00,-49.63,-51.19,-1.56,502.84,-363.55,-866.39
Pos1,1-2,-0.60,0.00,-58.49,-55.90,2.59,3704.57,2512.73,-1191.84
Pos1,1-3,-1.20,0.00,-60.16,-58.03,2.13,3198.05,2254.76,-943.29
Pos1,1-4,-1.80,0.00,-58.38,-56.34,2.04,2882.09,2063.31,-818.79
Pos1,1-5,-2.40,0.00,-55.34,-54.94,0.40,2507.21,1454.77,-1052.44
Pos1,1-6,-3.00,0.00,-57.09,-52.80,4.29,3384.91,791.80,-2593.11
Pos1,1-7,-3.60,0.00,-65.49,-56.75,8.74,-463.67,475.12,938.78
Pos1,1-8,-4.20,0.00,-58.02,-56.44,1.58,1071.87,-252.09,-1323.96
Pos1,1-9,-4.80,0.00,-53.19,-56.19,-2.99,7.76,-525.22,-532.98
Pos1,10-1,0.00,5.40,-60.88,-68.76,-7.88,7088.20,6685.74,-402.46
Pos1,10-11,-6.00,5.40,-54.30,-62.79,-8.49,3203.97,2441.55,-762.41
Pos1,11-1,0.00,6.00,-68.31,-72.39,-4.08,6096.34,5353.94,-742.40
Pos1,11-10,-5.40,6.00,-63.42,-68.54,-5.13,3534.29,7791.82,4257.53
Pos1,11-11,-6.00,6.00,-66.58,-68.26,-1.69,3411.64,2891.98,-519.66
Pos1,11-2,-0.60,6.00,-65.19,-68.91,-3.71,4791.82,6656.86,1865.04
Pos1,11-3,-1.20,6.00,-67.59,-68.17,-0.58,3944.02,5056.02,1112.01
Pos1,11-4,-1.80,6.00,-65.15,-71.38,-6.23,5018.64,5999.59,980.95
Pos1,11-5,-2.40,6.00,-63.12,-61.71,1.41,3607.03,6231.99,2624.97
Pos1,11-6,-3.00,6.00,-62.81,-67.00,-4.19,4277.04,4055.20,-221.84
Pos1,11-7,-3.60,6.00,-62.90,-67.20,-4.30,5948.50,5417.89,-530.61
