Timestamp,Label,Duration_ms,SSID_1,BSSID_1,RSSI_1,Dist_mm_1,Std_mm_1,Succ_1,Att_1,Rate_1,SSID_2,BSSID_2,RSSI_2,Dist_mm_2,Std_mm_2,Succ_2,Att_2,Rate_2,SSID_3,BSSID_3,RSSI_3,Dist_mm_3,Std_mm_3,Succ_3,Att_3,Rate_3,SSID_4,BSSID_4,RSSI_4,Dist_mm_4,Std_mm_4,Succ_4,Att_4,Rate_4,Diff_RSSI_1_2,Diff_RSSI_1_3,Diff_RSSI_1_4,Diff_RSSI_2_3,Diff_RSSI_2_4,Diff_RSSI_3_4
1767276229378,1-1,84,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3452.0,1216.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63.0,6538.0,1734.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49.0,-1165.0,2049.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-72.0,9536.0,271.0,7.0,8.0,87.5,3.0,-11.0,12.0,-14.0,9.0,23.0
1767276229651,1-1,151,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3374.0,920.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6616.0,1564.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49.0,-1246.0,688.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-70.0,9536.0,258.0,7.0,8.0,87.5,3.0,-12.0,9.0,-15.0,6.0,21.0
1767276229822,1-1,115,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3296.0,934.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6577.0,1582.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54.0,-1011.0,555.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-70.0,9262.0,440.0,7.0,8.0,87.5,3.0,-7.0,9.0,-10.0,6.0,16.0
1767276230057,1-1,143,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3257.0,963.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63.0,6538.0,1603.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54.0,62.0,534.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-69.0,9223.0,375.0,7.0,8.0,87.5,2.0,-7.0,8.0,-9.0,6.0,15.0
1767276230273,1-1,150,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3452.0,969.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63.0,6577.0,1571.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52.0,120.0,555.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9341.0,301.0,7.0,8.0,87.5,3.0,-8.0,8.0,-11.0,5.0,16.0
1767276230466,1-1,136,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3374.0,994.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6616.0,1597.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,120.0,492.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9458.0,264.0,7.0,8.0,87.5,4.0,-10.0,8.0,-14.0,4.0,18.0
1767276230667,1-1,131,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3256.0,1138.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6616.0,1597.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52.0,179.0,573.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9419.0,294.0,7.0,8.0,87.5,3.0,-9.0,7.0,-12.0,4.0,16.0
1767276230875,1-1,131,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3296.0,1147.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6577.0,1647.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52.0,150.0,455.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9458.0,307.0,7.0,8.0,87.5,3.0,-9.0,7.0,-12.0,4.0,16.0
1767276231049,1-1,98,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3374.0,1009.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63.0,6577.0,1555.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-1050.0,620.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9380.0,216.0,7.0,8.0,87.5,3.0,-10.0,8.0,-13.0,5.0,18.0
1767276231289,1-1,130,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3413.0,885.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63.0,6538.0,1485.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-1441.0,796.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-69.0,9419.0,299.0,7.0,8.0,87.5,2.0,-11.0,8.0,-13.0,6.0,19.0
