Timestamp,Label,Duration_ms,SSID_1,BSSID_1,RSSI_1,Dist_mm_1,Std_mm_1,Succ_1,Att_1,Rate_1,SSID_2,BSSID_2,RSSI_2,Dist_mm_2,Std_mm_2,Succ_2,Att_2,Rate_2,SSID_3,BSSID_3,RSSI_3,Dist_mm_3,Std_mm_3,Succ_3,Att_3,Rate_3,SSID_4,BSSID_4,RSSI_4,Dist_mm_4,Std_mm_4,Succ_4,Att_4,Rate_4
1767281459146,7-1,96,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,4038,579,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-62,2944,145,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58,628,374,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,8833,1563,7,8,87.5
1767281459362,7-1,106,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,3999,456,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,2505,526,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58,550,410,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-70,9106,1315,7,8,87.5
1767281459586,7-1,123,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,4077,379,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67,2680,130,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,-1782,2878,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-70,8989,1513,7,8,87.5
1767281459803,7-1,133,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,4038,579,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,2739,98,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58,667,268,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-70,8989,1513,7,8,87.5
1767281459999,7-1,121,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,4077,537,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,2915,2144,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58,511,318,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-69,9067,1481,7,8,87.5
1767281460209,7-1,123,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,4155,265,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,3032,2124,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57,277,538,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,8884,1394,7,8,87.5
1767281460429,7-1,136,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,4194,771,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-61,3061,0,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58,745,256,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,9067,1386,7,8,87.5
1767281460609,7-1,110,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,4077,325,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,2651,102,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58,355,480,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,9067,1206,7,8,87.5
1767281460824,7-1,117,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,4155,885,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70,3003,2235,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58,1321,793,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,9018,181,7,8,87.5
1767281461037,7-1,123,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,4116,214,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,2798,97,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-59,277,502,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,9145,1160,7,8,87.5
