Timestamp,Label,Duration_ms,SSID_1,BSSID_1,RSSI_1,Dist_mm_1,Std_mm_1,Succ_1,Att_1,Rate_1,SSID_2,BSSID_2,RSSI_2,Dist_mm_2,Std_mm_2,Succ_2,Att_2,Rate_2,SSID_3,BSSID_3,RSSI_3,Dist_mm_3,Std_mm_3,Succ_3,Att_3,Rate_3,SSID_4,BSSID_4,RSSI_4,Dist_mm_4,Std_mm_4,Succ_4,Att_4,Rate_4
1767254095056,1-1,48,MCSLab RTT AP3,b0:e4:d5:88:16:86,-60.0,6112.0,1150.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61.0,6331.0,1587.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-347.0,1525.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-70.0,11781.0,1181.0,7.0,8.0,87.5
1767254095276,1-1,61,MCSLab RTT AP3,b0:e4:d5:88:16:86,-65.0,6053.0,1309.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62.0,6487.0,1549.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-308.0,1519.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,,,,,,
1767254095491,1-1,64,MCSLab RTT AP3,b0:e4:d5:88:16:86,-65.0,5789.0,1414.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61.0,6644.0,1531.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-230.0,1495.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11693.0,1241.0,7.0,8.0,87.5
1767254095692,1-1,50,MCSLab RTT AP3,b0:e4:d5:88:16:86,-65.0,5731.0,1441.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61.0,6566.0,1567.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-308.0,1523.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11693.0,1540.0,7.0,8.0,87.5
1767254095907,1-1,56,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64.0,5594.0,1566.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-59.0,6722.0,1464.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,-386.0,1558.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11546.0,1650.0,7.0,8.0,87.5
1767254096114,1-1,52,MCSLab RTT AP3,b0:e4:d5:88:16:86,-65.0,5496.0,1622.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-59.0,6566.0,1423.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-46.0,-230.0,1426.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11663.0,1214.0,7.0,8.0,87.5
1767254096320,1-1,49,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63.0,5731.0,1325.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58.0,6292.0,420.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,-259.0,1524.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11663.0,1140.0,7.0,8.0,87.5
1767254096542,1-1,62,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61.0,5145.0,1676.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57.0,6361.0,104.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49.0,-347.0,1525.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11810.0,1031.0,7.0,8.0,87.5
1767254096742,1-1,53,MCSLab RTT AP3,b0:e4:d5:88:16:86,-60.0,6495.0,1554.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-56.0,6058.0,199.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49.0,-305.0,1481.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11751.0,1068.0,7.0,8.0,87.5
1767254096959,1-1,61,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63.0,7266.0,656.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-56.0,6361.0,91.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,-269.0,1515.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-71.0,11927.0,916.0,7.0,8.0,87.5
