Timestamp,Label,Duration_ms,SSID_1,BSSID_1,RSSI_1,Dist_mm_1,Std_mm_1,Succ_1,Att_1,Rate_1
1767250405151,1-1,38,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-347,1525,7,8,87.5
1767250405362,1-1,43,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-308,1519,7,8,87.5
1767250405583,1-1,56,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-230,1495,7,8,87.5
1767250405786,1-1,50,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-308,1523,7,8,87.5
1767250405990,1-1,46,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51,-386,1558,7,8,87.5
1767250406203,1-1,51,MCSLab RTT AP3,b0:e4:d5:88:16:86,-46,-230,1426,7,8,87.5
1767250406415,1-1,52,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51,-259,1524,7,8,87.5
1767250406620,1-1,47,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49,-347,1525,7,8,87.5
1767250406828,1-1,47,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49,-305,1481,7,8,87.5
1767250407037,1-1,47,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51,-269,1515,7,8,87.5
1767250407245,1-1,46,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51,-269,1501,7,8,87.5
1767250407465,1-1,57,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-269,1470,7,8,87.5
1767250407663,1-1,47,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-269,1499,7,8,87.5
1767250407874,1-1,48,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-191,1491,7,8,87.5
1767250408081,1-1,46,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-269,1442,7,8,87.5
1767250408284,1-1,40,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-269,1499,7,8,87.5
1767250408501,1-1,47,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-191,1452,7,8,87.5
1767250408711,1-1,48,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-191,1449,7,8,87.5
1767250408912,1-1,41,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-230,1496,7,8,87.5
1767250409137,1-1,55,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-230,1537,7,8,87.5
1767250409332,1-1,40,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-191,1460,7,8,87.5
1767250409560,1-1,58,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-230,1400,7,8,87.5
1767250409757,1-1,46,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-308,1366,7,8,87.5
1767250409980,1-1,60,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-289,1404,7,8,87.5
1767250410176,1-1,47,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-308,1353,7,8,87.5
