Timestamp,Label,Duration_ms,SSID_1,BSSID_1,RSSI_1,Dist_mm_1,Std_mm_1,Succ_1,Att_1,Rate_1,SSID_2,BSSID_2,RSSI_2,Dist_mm_2,Std_mm_2,Succ_2,Att_2,Rate_2,SSID_3,BSSID_3,RSSI_3,Dist_mm_3,Std_mm_3,Succ_3,Att_3,Rate_3,SSID_4,BSSID_4,RSSI_4,Dist_mm_4,Std_mm_4,Succ_4,Att_4,Rate_4,Diff_RSSI_1_2,Diff_RSSI_1_3,Diff_RSSI_1_4,Diff_RSSI_2_3,Diff_RSSI_2_4,Diff_RSSI_3_4
1772715173493,1-1,102,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3257.0,1780.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-71.0,7319.0,1449.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52.0,-1168.0,954.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-73.0,12108.0,1075.0,7.0,8.0,87.5,11.0,-8.0,13.0,-19.0,2.0,21.0
1772715173700,1-1,98,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3296.0,624.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-71.0,7358.0,1452.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52.0,-1285.0,908.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-73.0,11128.0,685.0,7.0,8.0,87.5,11.0,-8.0,13.0,-19.0,2.0,21.0
1772715173899,1-1,93,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3178.0,659.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-71.0,7358.0,1331.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52.0,-1285.0,950.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-73.0,11304.0,499.0,7.0,8.0,87.5,11.0,-8.0,13.0,-19.0,2.0,21.0
1772715174118,1-1,100,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3256.0,708.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70.0,7358.0,1534.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52.0,-1129.0,853.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-73.0,11157.0,615.0,7.0,8.0,87.5,10.0,-8.0,13.0,-18.0,3.0,21.0
1772715174316,1-1,93,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3257.0,2077.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68.0,7202.0,1446.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52.0,-1168.0,1596.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-73.0,10893.0,1361.0,7.0,8.0,87.5,7.0,-9.0,12.0,-16.0,5.0,21.0
1772715174526,1-1,96,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3257.0,1600.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-72.0,7241.0,1586.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-45.0,-1129.0,1557.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-76.0,11450.0,450.0,7.0,8.0,87.5,12.0,-15.0,16.0,-27.0,4.0,31.0
1772715174729,1-1,93,MCSLab RTT AP1,24:29:34:e2:4c:36,-59.0,3452.0,1724.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-70.0,7046.0,1715.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-45.0,-1587.0,1768.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-75.0,11304.0,543.0,7.0,8.0,87.5,11.0,-14.0,16.0,-25.0,5.0,30.0
1772715174936,1-1,93,MCSLab RTT AP1,24:29:34:e2:4c:36,-59.0,3374.0,1647.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69.0,7007.0,950.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-45.0,-1285.0,1201.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-71.0,11011.0,751.0,7.0,8.0,87.5,10.0,-14.0,12.0,-24.0,2.0,26.0
1772715175177,1-1,126,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3256.0,1477.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68.0,6538.0,1039.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-1138.0,1613.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-73.0,11304.0,966.0,7.0,8.0,87.5,8.0,-10.0,13.0,-18.0,5.0,23.0
1772715175348,1-1,91,MCSLab RTT AP1,24:29:34:e2:4c:36,-60.0,3100.0,1553.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68.0,6538.0,1081.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52.0,-1051.0,1539.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-71.0,11538.0,959.0,7.0,8.0,87.5,8.0,-8.0,11.0,-16.0,3.0,19.0
1772715175587,1-1,122,MCSLab RTT AP1,24:29:34:e2:4c:36,-55.0,2744.0,2094.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67.0,6225.0,1421.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,-1226.0,1615.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-70.0,11069.0,914.0,7.0,8.0,87.5,12.0,-5.0,15.0,-17.0,3.0,20.0
