Mode: Fusion | Features: RSSI(4) + RTT(1)
Model Input Dimension: 5
cuda
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
---------------------------------------------------------------------------------------------------------------------------------------
1      | 13.3429    | 3.6837     | 5.5372     | 3.6977     | 0.4244     | 3.1389       | 3.6965       |             | 2.2395   | 6.835  
2      | 12.0986    | 3.0128     | 5.4123     | 3.4486     | 0.2249     | 2.6039       | 3.1928       |             | 1.8378   | 5.797  
3      | 11.0758    | 2.7085     | 5.3249     | 2.8573     | 0.1851     | 2.3095       | 2.6100       |             | 1.8458   | 4.919  
4      | 10.0791    | 2.5734     | 5.2014     | 2.1495     | 0.1547     | 2.1062       | 1.8928       |             | 1.8803   | 3.999  
5      | 9.2465     | 2.4220     | 5.0089     | 1.6841     | 0.1315     | 1.9257       | 1.5454       |             | 1.9136   | 3.471  
6      | 8.4246     | 2.1814     | 4.7479     | 1.3687     | 0.1267     | 1.6508       | 1.3040       |             | 2.0575   | 2.955  
7      | 7.7426     | 2.0142     | 4.4867     | 1.1268     | 0.1149     | 1.4825       | 1.1264       |             | 1.9859   | 2.609  
8      | 7.1923     | 1.8382     | 4.2282     | 1.0134     | 0.1126     | 1.4199       | 0.8666       |             | 2.0497   | 2.286  
9      | 6.5996     | 1.6773     | 3.8958     | 0.9138     | 0.1127     | 1.2205       | 0.9184       |             | 2.0153   | 2.139  
10     | 6.0175     | 1.5317     | 3.5539     | 0.8252     | 0.1067     | 1.0055       | 0.8990       |             | 1.9213   | 1.904  
11     | 5.5192     | 1.4295     | 3.2380     | 0.7469     | 0.1048     | 1.1915       | 0.6375       |             | 1.9858   | 1.829  
12     | 5.1243     | 1.3371     | 2.9787     | 0.7080     | 0.1004     | 0.8915       | 0.7608       |             | 2.0303   | 1.652  
13     | 4.8434     | 1.2964     | 2.7805     | 0.6680     | 0.0985     | 1.0037       | 0.6416       |             | 2.0343   | 1.645  
14     | 4.5334     | 1.2369     | 2.5789     | 0.6238     | 0.0938     | 0.6688       | 0.9057       |             | 1.9432   | 1.575  
15     | 4.2289     | 1.1327     | 2.3932     | 0.6090     | 0.0941     | 0.7200       | 0.6893       |             | 1.9698   | 1.409  
16     | 3.9773     | 1.1198     | 2.2057     | 0.5649     | 0.0870     | 0.6280       | 0.7317       |             | 2.0040   | 1.360  
17     | 3.9497     | 1.1091     | 2.1858     | 0.5671     | 0.0877     | 0.8936       | 0.5008       |             | 2.0226   | 1.394  
18     | 3.5853     | 1.0063     | 1.9648     | 0.5294     | 0.0848     | 0.6846       | 0.6663       |             | 1.9851   | 1.351  
19     | 3.4435     | 0.9607     | 1.8777     | 0.5241     | 0.0810     | 0.5617       | 0.6989       |             | 1.8670   | 1.261  
20     | 3.4065     | 0.9943     | 1.8275     | 0.4988     | 0.0860     | 0.6999       | 0.5123       |             | 2.0570   | 1.212  
21     | 3.1903     | 0.9447     | 1.6925     | 0.4714     | 0.0817     | 0.5696       | 0.5802       |             | 1.9566   | 1.150  
22     | 3.2779     | 0.9415     | 1.7662     | 0.4798     | 0.0905     | 0.6726       | 0.5137       |             | 1.9812   | 1.186  
23     | 3.2130     | 0.9380     | 1.7152     | 0.4775     | 0.0823     | 0.4925       | 0.6415       |             | 1.8749   | 1.134  
24     | 2.9376     | 0.8872     | 1.5497     | 0.4236     | 0.0771     | 0.6677       | 0.3606       |             | 2.0688   | 1.028  
25     | 2.9154     | 0.8655     | 1.5533     | 0.4218     | 0.0747     | 0.6157       | 0.4144       |             | 1.9885   | 1.030  
26     | 3.0381     | 0.8897     | 1.6387     | 0.4300     | 0.0797     | 0.5988       | 0.4560       |             | 1.9512   | 1.055  
27     | 2.7876     | 0.8146     | 1.4946     | 0.4043     | 0.0742     | 0.5178       | 0.4351       |             | 1.9652   | 0.953  
28     | 2.8095     | 0.8052     | 1.5071     | 0.4243     | 0.0729     | 0.3725       | 0.5957       |             | 1.8455   | 0.968  
29     | 3.0277     | 0.8531     | 1.6723     | 0.4269     | 0.0754     | 0.3165       | 0.7270       |             | 1.7373   | 1.044  
30     | 3.2324     | 0.8508     | 1.8493     | 0.4495     | 0.0827     | 0.4646       | 0.4716       |             | 1.9033   | 0.936  
31     | 3.1082     | 0.8226     | 1.7499     | 0.4515     | 0.0842     | 0.3960       | 0.5056       |             | 1.9487   | 0.902  
32     | 2.9938     | 0.7742     | 1.7077     | 0.4336     | 0.0783     | 0.3796       | 0.5449       |             | 1.9235   | 0.924  
33     | 3.1451     | 0.8228     | 1.8026     | 0.4384     | 0.0814     | 0.3970       | 0.5155       |             | 1.9052   | 0.913  
34     | 3.4293     | 0.8644     | 2.0095     | 0.4738     | 0.0816     | 0.3696       | 0.5191       |             | 1.8606   | 0.889  
35     | 3.2678     | 0.7920     | 1.9455     | 0.4489     | 0.0814     | 0.3388       | 0.6327       |             | 1.7896   | 0.971  
36     | 3.4445     | 0.8212     | 2.0862     | 0.4564     | 0.0806     | 0.5795       | 0.3943       |             | 1.9279   | 0.974  
37     | 3.3734     | 0.8106     | 2.0126     | 0.4567     | 0.0935     | 0.3214       | 0.6252       |             | 1.8361   | 0.947  
38     | 3.6738     | 0.8566     | 2.2440     | 0.4841     | 0.0891     | 0.5696       | 0.4813       |             | 1.8975   | 1.051  
39     | 3.6234     | 0.8285     | 2.2376     | 0.4672     | 0.0901     | 0.4169       | 0.4664       |             | 1.7021   | 0.883  
40     | 3.9803     | 0.8464     | 2.5502     | 0.5002     | 0.0836     | 0.5393       | 0.3653       |             | 1.7926   | 0.905  
41     | 4.0241     | 0.8786     | 2.5531     | 0.5077     | 0.0847     | 0.3004       | 0.5416       |             | 1.7306   | 0.842  
42     | 3.8224     | 0.8432     | 2.3719     | 0.5177     | 0.0897     | 0.1964       | 0.6264       |             | 1.6715   | 0.823  
43     | 3.8952     | 0.7993     | 2.4758     | 0.5307     | 0.0894     | 0.3330       | 0.4827       |             | 1.6981   | 0.816  
44     | 3.6580     | 0.8013     | 2.2556     | 0.5140     | 0.0870     | 0.4508       | 0.4276       |             | 1.7900   | 0.878  
45     | 3.6839     | 0.7764     | 2.2988     | 0.5239     | 0.0848     | 0.3692       | 0.4683       |             | 1.8344   | 0.838  
46     | 4.2029     | 0.8283     | 2.7369     | 0.5505     | 0.0871     | 0.2589       | 0.5759       |             | 1.7061   | 0.835  
47     | 4.4138     | 0.8165     | 2.9520     | 0.5573     | 0.0881     | 0.3230       | 0.4725       |             | 1.7994   | 0.796  
48     | 4.4318     | 0.8765     | 2.8893     | 0.5745     | 0.0915     | 0.2916       | 0.6024       |             | 1.6746   | 0.894  
49     | 4.5836     | 0.8501     | 3.0591     | 0.5806     | 0.0938     | 0.3014       | 0.5607       |             | 1.6726   | 0.862  
50     | 5.0410     | 0.8360     | 3.4481     | 0.6560     | 0.1010     | 0.2069       | 0.6835       |             | 1.5954   | 0.890  
51     | 5.0087     | 0.8271     | 3.4400     | 0.6424     | 0.0993     | 0.1914       | 0.4630       | (saved)     | 1.7812   | 0.654  
52     | 4.4971     | 0.7333     | 3.0754     | 0.5945     | 0.0939     | 0.2110       | 0.5904       |             | 1.7232   | 0.801  
53     | 4.6763     | 0.7912     | 3.1785     | 0.6085     | 0.0981     | 0.2410       | 0.5181       |             | 1.7535   | 0.759  
54     | 4.6410     | 0.8089     | 3.1323     | 0.6010     | 0.0987     | 0.2252       | 0.5430       |             | 1.8078   | 0.768  
55     | 4.9946     | 0.8134     | 3.4583     | 0.6197     | 0.1031     | 0.1678       | 0.5850       |             | 1.7345   | 0.753  
56     | 4.7406     | 0.7561     | 3.2580     | 0.6225     | 0.1040     | 0.2123       | 0.5095       |             | 1.7453   | 0.722  
57     | 5.3080     | 0.8223     | 3.7138     | 0.6632     | 0.1088     | 0.1982       | 0.6025       |             | 1.4177   | 0.801  
58     | 5.3748     | 0.7629     | 3.8365     | 0.6689     | 0.1065     | 0.2094       | 0.4871       |             | 1.4562   | 0.696  
59     | 5.7320     | 0.8407     | 4.0934     | 0.6935     | 0.1044     | 0.2543       | 0.4453       |             | 1.6211   | 0.700  
60     | 5.1684     | 0.7471     | 3.6783     | 0.6427     | 0.1003     | 0.1929       | 0.5092       |             | 1.6815   | 0.702  
61     | 5.4373     | 0.7676     | 3.9134     | 0.6563     | 0.1000     | 0.2421       | 0.5024       |             | 1.6912   | 0.744  
62     | 5.8217     | 0.7911     | 4.2378     | 0.6894     | 0.1033     | 0.2166       | 0.5517       |             | 1.5754   | 0.768  
63     | 5.8924     | 0.7664     | 4.3593     | 0.6622     | 0.1045     | 0.2180       | 0.4886       |             | 1.6038   | 0.707  
64     | 6.1343     | 0.7874     | 4.5413     | 0.6933     | 0.1123     | 0.2015       | 0.4354       | (saved)     | 1.6922   | 0.637  
65     | 5.7909     | 0.7619     | 4.2772     | 0.6499     | 0.1020     | 0.1735       | 0.4842       |             | 1.7190   | 0.658  
66     | 5.6546     | 0.7241     | 4.1880     | 0.6430     | 0.0994     | 0.2189       | 0.4772       |             | 1.6544   | 0.696  
67     | 5.7566     | 0.7178     | 4.3095     | 0.6311     | 0.0982     | 0.1673       | 0.4541       | (saved)     | 1.6563   | 0.621  
68     | 6.1946     | 0.7699     | 4.6795     | 0.6485     | 0.0967     | 0.2026       | 0.4746       |             | 1.5963   | 0.677  
69     | 6.3722     | 0.8158     | 4.8038     | 0.6556     | 0.0970     | 0.1873       | 0.4567       |             | 1.5468   | 0.644  
70     | 6.3855     | 0.7636     | 4.8525     | 0.6737     | 0.0957     | 0.1962       | 0.4876       |             | 1.5383   | 0.684  
71     | 6.3829     | 0.7230     | 4.8831     | 0.6830     | 0.0938     | 0.2564       | 0.4404       |             | 1.4682   | 0.697  
72     | 6.3983     | 0.7718     | 4.8701     | 0.6644     | 0.0920     | 0.2101       | 0.4509       |             | 1.4762   | 0.661  
73     | 6.4523     | 0.7085     | 4.9841     | 0.6693     | 0.0905     | 0.1930       | 0.4288       |             | 1.5008   | 0.622  
74     | 6.3803     | 0.7813     | 4.8437     | 0.6684     | 0.0868     | 0.2211       | 0.4747       |             | 1.6036   | 0.696  
75     | 6.3142     | 0.7613     | 4.8198     | 0.6468     | 0.0863     | 0.1883       | 0.4337       |             | 1.5027   | 0.622  
76     | 6.2037     | 0.7771     | 4.6938     | 0.6446     | 0.0882     | 0.1560       | 0.4949       |             | 1.4679   | 0.651  
77     | 5.9391     | 0.7226     | 4.5305     | 0.6013     | 0.0846     | 0.1927       | 0.4371       |             | 1.5243   | 0.630  
78     | 6.0306     | 0.7502     | 4.6043     | 0.5936     | 0.0824     | 0.2173       | 0.4158       |             | 1.5955   | 0.633  
79     | 6.0280     | 0.7340     | 4.6415     | 0.5727     | 0.0798     | 0.1968       | 0.4002       | (saved)     | 1.4946   | 0.597  
80     | 6.2820     | 0.7461     | 4.8522     | 0.6025     | 0.0812     | 0.2075       | 0.4582       |             | 1.5566   | 0.666  
81     | 6.5009     | 0.7716     | 4.9945     | 0.6514     | 0.0834     | 0.2316       | 0.4587       |             | 1.5126   | 0.690  
82     | 6.5595     | 0.7444     | 5.1022     | 0.6292     | 0.0837     | 0.1537       | 0.4434       |             | 1.5680   | 0.597  
83     | 6.9196     | 0.8306     | 5.3478     | 0.6551     | 0.0862     | 0.1861       | 0.4646       |             | 1.5100   | 0.651  
84     | 6.5833     | 0.8028     | 5.0677     | 0.6313     | 0.0814     | 0.1662       | 0.4408       |             | 1.4903   | 0.607  
85     | 6.4649     | 0.7424     | 5.0284     | 0.6143     | 0.0799     | 0.1463       | 0.4221       | (saved)     | 1.6819   | 0.568  
86     | 6.6991     | 0.7729     | 5.2312     | 0.6154     | 0.0796     | 0.2237       | 0.3967       |             | 1.5380   | 0.620  
87     | 6.6038     | 0.7155     | 5.1955     | 0.6175     | 0.0753     | 0.1650       | 0.4482       |             | 1.5514   | 0.613  
88     | 6.4046     | 0.6989     | 5.0210     | 0.6047     | 0.0801     | 0.1604       | 0.4652       |             | 1.5758   | 0.626  
89     | 6.2735     | 0.7289     | 4.8625     | 0.6069     | 0.0752     | 0.1812       | 0.4005       |             | 1.5596   | 0.582  
