Mode: Fusion | Features: RSSI(4) + RTT(3)
Model Input Dimension: 7
cuda
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
---------------------------------------------------------------------------------------------------------------------------------------
1      | 13.7937    | 3.7021     | 2.8229     | 3.6818     | 3.5869     | 3.2077       | 3.6443       |             | 2.6166   | 6.852  
2      | 9.6828     | 3.1796     | 2.7677     | 3.2368     | 0.4987     | 2.7500       | 3.1659       |             | 2.3684   | 5.916  
3      | 8.5864     | 2.8909     | 2.7373     | 2.7379     | 0.2203     | 2.4492       | 2.6373       |             | 2.4395   | 5.087  
4      | 7.8377     | 2.6567     | 2.7122     | 2.2833     | 0.1855     | 2.1088       | 2.3155       |             | 2.3897   | 4.424  
5      | 6.9752     | 2.4078     | 2.6865     | 1.7635     | 0.1173     | 1.8031       | 1.5058       |             | 2.3305   | 3.309  
6      | 6.2537     | 2.1659     | 2.6508     | 1.3437     | 0.0934     | 1.5172       | 1.1054       |             | 2.3761   | 2.623  
7      | 5.6962     | 1.9366     | 2.6129     | 1.0797     | 0.0670     | 1.1755       | 0.8216       |             | 2.4103   | 1.997  
8      | 5.3013     | 1.7217     | 2.5663     | 0.9346     | 0.0787     | 1.0003       | 0.7008       |             | 2.4174   | 1.701  
9      | 4.8462     | 1.5184     | 2.5081     | 0.7690     | 0.0507     | 0.8608       | 0.5555       |             | 2.4233   | 1.416  
10     | 4.5531     | 1.3775     | 2.4296     | 0.6845     | 0.0615     | 0.6847       | 0.5278       |             | 2.4120   | 1.213  
11     | 4.2821     | 1.2479     | 2.3450     | 0.6331     | 0.0560     | 0.5959       | 0.5558       |             | 2.4059   | 1.152  
12     | 4.1181     | 1.1554     | 2.2715     | 0.6055     | 0.0857     | 0.5586       | 0.4231       |             | 2.4246   | 0.982  
13     | 3.8900     | 1.0756     | 2.1755     | 0.5545     | 0.0844     | 0.4561       | 0.4459       |             | 2.3940   | 0.902  
14     | 3.6186     | 0.9976     | 2.0610     | 0.5031     | 0.0569     | 0.4467       | 0.3340       |             | 2.4203   | 0.781  
15     | 3.4677     | 0.9550     | 1.9572     | 0.4925     | 0.0630     | 0.4776       | 0.2887       |             | 2.3856   | 0.766  
16     | 3.1786     | 0.8947     | 1.8226     | 0.4115     | 0.0498     | 0.4288       | 0.3128       |             | 2.3336   | 0.742  
17     | 3.1301     | 0.9002     | 1.7404     | 0.4234     | 0.0661     | 0.3142       | 0.3110       |             | 2.3862   | 0.625  
18     | 2.9083     | 0.8360     | 1.6291     | 0.3907     | 0.0525     | 0.4410       | 0.2310       |             | 2.3910   | 0.672  
19     | 2.7051     | 0.7814     | 1.5061     | 0.3695     | 0.0482     | 0.4028       | 0.2501       |             | 2.3982   | 0.653  
20     | 2.5955     | 0.7622     | 1.4417     | 0.3517     | 0.0399     | 0.2962       | 0.2570       |             | 2.3865   | 0.553  
21     | 2.4543     | 0.7344     | 1.3426     | 0.3303     | 0.0469     | 0.4328       | 0.2039       |             | 2.3115   | 0.637  
22     | 2.3638     | 0.7231     | 1.2779     | 0.3110     | 0.0518     | 0.2798       | 0.2491       |             | 2.3756   | 0.529  
23     | 2.3576     | 0.7513     | 1.2345     | 0.3260     | 0.0458     | 0.2497       | 0.3047       |             | 2.3851   | 0.554  
24     | 2.2854     | 0.7242     | 1.1806     | 0.3272     | 0.0534     | 0.3168       | 0.2908       |             | 2.2678   | 0.608  
25     | 2.0744     | 0.6648     | 1.0810     | 0.2887     | 0.0399     | 0.2926       | 0.2311       |             | 2.3311   | 0.524  
26     | 2.0179     | 0.6275     | 1.0505     | 0.3015     | 0.0384     | 0.2459       | 0.2626       |             | 2.3193   | 0.509  
27     | 1.9785     | 0.6476     | 1.0088     | 0.2837     | 0.0384     | 0.2695       | 0.1916       |             | 2.3171   | 0.461  
