Mode: Fusion | Features: RSSI(4) + RTT(2)
Model Input Dimension: 6
cuda
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
---------------------------------------------------------------------------------------------------------------------------------------
1      | 13.2826    | 3.6028     | 5.5494     | 3.7015     | 0.4290     | 3.0825       | 3.7198       |             | 2.7618   | 6.802  
2      | 12.0468    | 2.9655     | 5.3884     | 3.4482     | 0.2447     | 2.5768       | 3.3022       |             | 2.5464   | 5.879  
3      | 11.0294    | 2.6524     | 5.2701     | 2.9124     | 0.1946     | 2.2823       | 2.5900       |             | 2.6553   | 4.872  
4      | 9.9917     | 2.4780     | 5.1314     | 2.2222     | 0.1602     | 2.0388       | 1.8005       |             | 2.7651   | 3.839  
5      | 9.2178     | 2.3206     | 4.9705     | 1.7759     | 0.1507     | 1.7557       | 1.3992       |             | 2.7138   | 3.155  
6      | 8.5127     | 2.0901     | 4.7776     | 1.5083     | 0.1366     | 1.4703       | 1.1575       |             | 2.5515   | 2.628  
7      | 7.8461     | 1.8745     | 4.5459     | 1.3056     | 0.1201     | 1.1609       | 1.0718       |             | 2.5033   | 2.233  
8      | 7.3039     | 1.7054     | 4.2907     | 1.1860     | 0.1218     | 0.9581       | 0.9977       |             | 2.4662   | 1.956  
9      | 6.6839     | 1.5191     | 3.9977     | 1.0482     | 0.1188     | 0.7857       | 0.8837       |             | 2.4511   | 1.669  
10     | 6.3153     | 1.4075     | 3.8192     | 0.9765     | 0.1122     | 0.6912       | 0.8109       |             | 2.3402   | 1.502  
11     | 5.8443     | 1.3037     | 3.5255     | 0.9054     | 0.1096     | 0.6359       | 0.7323       |             | 2.3901   | 1.368  
12     | 5.5320     | 1.2404     | 3.3541     | 0.8364     | 0.1012     | 0.5345       | 0.7020       |             | 2.4588   | 1.236  
13     | 5.1303     | 1.1270     | 3.1177     | 0.7800     | 0.1056     | 0.6656       | 0.5042       |             | 2.5068   | 1.170  
14     | 4.8864     | 1.0932     | 2.9565     | 0.7387     | 0.0980     | 0.4494       | 0.5938       |             | 2.4057   | 1.043  
15     | 4.5778     | 0.9827     | 2.7953     | 0.7015     | 0.0983     | 0.3922       | 0.5306       |             | 2.4387   | 0.923  
