Mode: Fusion | Features: RSSI(4) + RTT(4)
Model Input Dimension: 8
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
---------------------------------------------------------------------------------------------------------------------------------------
1      | 13.2614    | 3.5870     | 5.5018     | 3.7145     | 0.4582     | 2.9766       | 3.7742       |             | 2.3137   | 6.751  
2      | 11.9700    | 2.8466     | 5.2790     | 3.5601     | 0.2844     | 2.3512       | 3.4996       |             | 1.9691   | 5.851  
3      | 10.7934    | 2.4366     | 5.1055     | 3.0471     | 0.2040     | 1.9871       | 2.7254       |             | 1.6944   | 4.713  
4      | 9.6438     | 2.2536     | 4.8785     | 2.3285     | 0.1832     | 1.6915       | 1.9021       |             | 1.7242   | 3.594  
5      | 8.6678     | 2.1035     | 4.6443     | 1.7661     | 0.1539     | 1.4047       | 1.3508       |             | 1.8082   | 2.755  
6      | 7.7009     | 1.8507     | 4.3489     | 1.3649     | 0.1364     | 1.1524       | 0.9056       |             | 1.7974   | 2.058  
7      | 6.8642     | 1.6506     | 3.9686     | 1.1127     | 0.1323     | 0.8827       | 0.8190       |             | 1.8613   | 1.702  
8      | 6.1132     | 1.4315     | 3.6307     | 0.9410     | 0.1101     | 0.7379       | 0.5644       |             | 1.8570   | 1.302  
9      | 5.5483     | 1.2844     | 3.3155     | 0.8371     | 0.1113     | 0.5780       | 0.4536       |             | 1.8622   | 1.032  
10     | 5.1159     | 1.1705     | 3.0846     | 0.7464     | 0.1145     | 0.5072       | 0.3864       |             | 1.8316   | 0.894  
11     | 4.5978     | 1.0543     | 2.7739     | 0.6616     | 0.1080     | 0.3763       | 0.3834       |             | 1.8535   | 0.760  
12     | 4.1936     | 1.0036     | 2.4975     | 0.5960     | 0.0965     | 0.3426       | 0.3145       |             | 1.8343   | 0.657  
13     | 4.0504     | 0.9420     | 2.4188     | 0.5858     | 0.1038     | 0.4166       | 0.1728       |             | 1.8444   | 0.589  
14     | 3.7674     | 0.8872     | 2.2479     | 0.5317     | 0.1006     | 0.2648       | 0.2842       |             | 1.8279   | 0.549  
15     | 3.4808     | 0.8225     | 2.0578     | 0.5037     | 0.0967     | 0.2578       | 0.3389       |             | 1.7623   | 0.597  
16     | 3.3400     | 0.8011     | 1.9615     | 0.4845     | 0.0930     | 0.2705       | 0.2196       |             | 1.8256   | 0.490  
