Mode: Fusion | Features: RSSI(4) + RTT(2)
Model Input Dimension: 6
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
---------------------------------------------------------------------------------------------------------------------------------------
1      | 13.2834    | 3.6299     | 5.5160     | 3.6958     | 0.4417     | 3.0770       | 3.7148       |             | 2.3360   | 6.792  
2      | 12.0511    | 3.0203     | 5.3611     | 3.4155     | 0.2543     | 2.6465       | 3.0987       |             | 2.2101   | 5.745  
3      | 10.9772    | 2.7495     | 5.2159     | 2.8019     | 0.2099     | 2.3698       | 2.4918       |             | 2.0268   | 4.862  
4      | 10.0391    | 2.5339     | 5.0112     | 2.3264     | 0.1676     | 1.9990       | 2.1730       |             | 1.9994   | 4.172  
5      | 9.1920     | 2.2843     | 4.7857     | 1.9609     | 0.1611     | 1.7233       | 1.7985       |             | 2.0319   | 3.522  
6      | 8.3417     | 2.0742     | 4.4596     | 1.6692     | 0.1387     | 1.4882       | 1.4179       |             | 2.1637   | 2.906  
7      | 7.4668     | 1.8665     | 4.1279     | 1.3501     | 0.1223     | 1.2315       | 1.0754       |             | 2.0164   | 2.307  
8      | 6.6421     | 1.7225     | 3.7144     | 1.0886     | 0.1166     | 1.0923       | 0.8865       |             | 1.9736   | 1.979  
9      | 5.9180     | 1.5493     | 3.3148     | 0.9454     | 0.1086     | 1.0034       | 0.7544       |             | 1.9272   | 1.758  
10     | 5.3373     | 1.3848     | 2.9846     | 0.8567     | 0.1112     | 0.9070       | 0.6432       |             | 2.0267   | 1.550  
11     | 4.8410     | 1.3069     | 2.6686     | 0.7663     | 0.0991     | 0.8699       | 0.5461       |             | 2.0398   | 1.416  
12     | 4.4774     | 1.2179     | 2.4704     | 0.6941     | 0.0951     | 0.6200       | 0.5979       |             | 1.9305   | 1.218  
13     | 4.1003     | 1.1291     | 2.1992     | 0.6744     | 0.0976     | 0.6057       | 0.4883       |             | 1.9648   | 1.094  
14     | 3.7390     | 1.0547     | 1.9764     | 0.6137     | 0.0942     | 0.4579       | 0.5149       |             | 1.9692   | 0.973  
15     | 3.4853     | 0.9810     | 1.8425     | 0.5707     | 0.0910     | 0.3453       | 0.6359       |             | 1.9275   | 0.981  
16     | 3.3310     | 0.9698     | 1.7341     | 0.5410     | 0.0861     | 0.5099       | 0.3867       |             | 2.0324   | 0.897  
17     | 3.0405     | 0.8917     | 1.5388     | 0.5241     | 0.0859     | 0.2356       | 0.6913       |             | 1.8195   | 0.927  
18     | 2.9324     | 0.8692     | 1.5102     | 0.4698     | 0.0833     | 0.5291       | 0.3738       |             | 1.9881   | 0.903  
19     | 2.8199     | 0.8629     | 1.4182     | 0.4553     | 0.0834     | 0.5023       | 0.2967       |             | 2.0275   | 0.799  
20     | 2.7785     | 0.8123     | 1.4254     | 0.4588     | 0.0820     | 0.3074       | 0.3902       |             | 1.9308   | 0.698  
21     | 2.7860     | 0.7727     | 1.4864     | 0.4441     | 0.0828     | 0.3268       | 0.2982       |             | 1.9823   | 0.625  
22     | 2.7179     | 0.7751     | 1.4310     | 0.4244     | 0.0875     | 0.3329       | 0.3639       |             | 1.9637   | 0.697  
23     | 2.9015     | 0.7499     | 1.6102     | 0.4536     | 0.0877     | 0.2086       | 0.3796       |             | 1.9463   | 0.588  
