Mode: Fusion | Features: RSSI(4) + RTT(3)
Model Input Dimension: 7
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
---------------------------------------------------------------------------------------------------------------------------------------
1      | 13.2881    | 3.5876     | 5.5254     | 3.7105     | 0.4647     | 3.0607       | 3.7755       |             | 2.1373   | 6.836  
2      | 12.0567    | 2.8970     | 5.3761     | 3.5252     | 0.2584     | 2.4704       | 3.4286       |             | 1.6709   | 5.899  
3      | 10.9537    | 2.5083     | 5.2572     | 2.9919     | 0.1964     | 2.0568       | 2.8025       |             | 1.6933   | 4.859  
4      | 9.8932     | 2.3340     | 5.0938     | 2.2849     | 0.1806     | 1.8275       | 2.0346       |             | 1.6401   | 3.862  
5      | 8.9950     | 2.1138     | 4.9060     | 1.8178     | 0.1575     | 1.5290       | 1.6706       |             | 1.6780   | 3.200  
6      | 8.3103     | 1.9316     | 4.7031     | 1.5343     | 0.1413     | 1.2824       | 1.3678       |             | 1.8270   | 2.650  
7      | 7.6282     | 1.7208     | 4.4409     | 1.3282     | 0.1384     | 0.9750       | 1.3707       |             | 1.7986   | 2.346  
8      | 6.9899     | 1.5566     | 4.1417     | 1.1671     | 0.1245     | 0.8646       | 0.9512       |             | 1.8993   | 1.816  
9      | 6.2970     | 1.3804     | 3.7827     | 1.0215     | 0.1123     | 0.8393       | 0.7011       |             | 1.7654   | 1.540  
10     | 5.8030     | 1.2833     | 3.4915     | 0.9188     | 0.1094     | 0.5816       | 0.7593       |             | 1.6998   | 1.341  
11     | 5.2727     | 1.1403     | 3.1708     | 0.8573     | 0.1044     | 0.6552       | 0.5638       |             | 1.7975   | 1.219  
12     | 4.8191     | 1.0584     | 2.8992     | 0.7628     | 0.0988     | 0.5766       | 0.4556       |             | 1.7693   | 1.032  
13     | 4.4671     | 0.9878     | 2.6839     | 0.6938     | 0.1017     | 0.4307       | 0.4818       |             | 1.7397   | 0.912  
14     | 4.0175     | 0.9116     | 2.3885     | 0.6267     | 0.0907     | 0.3849       | 0.5828       |             | 1.6866   | 0.968  
15     | 3.9795     | 0.9009     | 2.3568     | 0.6257     | 0.0960     | 0.4205       | 0.3994       |             | 1.6839   | 0.820  
16     | 3.7383     | 0.8294     | 2.2306     | 0.5895     | 0.0888     | 0.4455       | 0.3030       |             | 1.6896   | 0.749  
17     | 3.7014     | 0.8653     | 2.1966     | 0.5523     | 0.0872     | 0.2591       | 0.3492       |             | 1.6737   | 0.608  
18     | 3.4117     | 0.7978     | 2.0177     | 0.5126     | 0.0836     | 0.3466       | 0.2670       |             | 1.7072   | 0.614  
19     | 3.3109     | 0.7313     | 1.9772     | 0.5195     | 0.0829     | 0.3267       | 0.2829       |             | 1.6714   | 0.610  
20     | 3.2625     | 0.7702     | 1.9089     | 0.4951     | 0.0883     | 0.2307       | 0.3093       |             | 1.5799   | 0.540  
21     | 3.0296     | 0.6912     | 1.7696     | 0.4832     | 0.0856     | 0.1924       | 0.3473       |             | 1.6312   | 0.540  
22     | 3.0231     | 0.7268     | 1.7458     | 0.4652     | 0.0853     | 0.2008       | 0.2659       |             | 1.6680   | 0.467  
23     | 2.8947     | 0.7087     | 1.6488     | 0.4574     | 0.0797     | 0.2211       | 0.2216       |             | 1.6407   | 0.443  
24     | 2.9898     | 0.6960     | 1.7427     | 0.4674     | 0.0836     | 0.1862       | 0.2609       |             | 1.5994   | 0.447  
25     | 2.8912     | 0.6623     | 1.7244     | 0.4269     | 0.0777     | 0.1893       | 0.2891       |             | 1.6196   | 0.478  
26     | 2.7577     | 0.6190     | 1.6268     | 0.4281     | 0.0838     | 0.1715       | 0.2279       |             | 1.5451   | 0.399  
27     | 2.7001     | 0.6212     | 1.5738     | 0.4267     | 0.0784     | 0.1892       | 0.2250       |             | 1.5149   | 0.414  
28     | 2.8818     | 0.6098     | 1.7592     | 0.4271     | 0.0858     | 0.1773       | 0.2608       |             | 1.5626   | 0.438  
29     | 2.9863     | 0.6271     | 1.8326     | 0.4405     | 0.0860     | 0.2191       | 0.2206       |             | 1.5365   | 0.440  
30     | 3.0873     | 0.6387     | 1.9219     | 0.4417     | 0.0850     | 0.3298       | 0.2042       |             | 1.5447   | 0.534  
31     | 2.8606     | 0.5992     | 1.7501     | 0.4262     | 0.0850     | 0.1958       | 0.2771       |             | 1.5670   | 0.473  
32     | 2.7516     | 0.5624     | 1.7089     | 0.3994     | 0.0809     | 0.1853       | 0.2588       |             | 1.5684   | 0.444  
33     | 2.8988     | 0.5796     | 1.7898     | 0.4437     | 0.0858     | 0.2754       | 0.2217       |             | 1.4764   | 0.497  
34     | 3.3029     | 0.6329     | 2.1202     | 0.4645     | 0.0854     | 0.2086       | 0.2213       |             | 1.5060   | 0.430  
35     | 3.2027     | 0.5725     | 2.0977     | 0.4450     | 0.0875     | 0.1234       | 0.4741       |             | 1.2996   | 0.598  
36     | 3.6945     | 0.6174     | 2.4949     | 0.4898     | 0.0925     | 0.1367       | 0.2700       |             | 1.4073   | 0.407  
37     | 3.6671     | 0.5967     | 2.4657     | 0.5090     | 0.0956     | 0.1383       | 0.3193       |             | 1.2549   | 0.458  
38     | 3.8683     | 0.5971     | 2.6415     | 0.5341     | 0.0955     | 0.1303       | 0.3311       |             | 1.1919   | 0.461  
39     | 4.1811     | 0.6065     | 2.9253     | 0.5502     | 0.0991     | 0.1874       | 0.3355       |             | 1.1818   | 0.523  
40     | 4.6870     | 0.6462     | 3.3426     | 0.5936     | 0.1046     | 0.1306       | 0.4565       |             | 1.1344   | 0.587  
41     | 5.0849     | 0.6837     | 3.6927     | 0.6006     | 0.1079     | 0.1280       | 0.4721       |             | 1.2510   | 0.600  
42     | 4.4571     | 0.5762     | 3.2093     | 0.5709     | 0.1007     | 0.1206       | 0.3280       |             | 1.3338   | 0.449  
43     | 4.2581     | 0.5794     | 3.0317     | 0.5498     | 0.0972     | 0.1230       | 0.3204       |             | 1.3130   | 0.443  
44     | 4.4883     | 0.6046     | 3.2118     | 0.5699     | 0.1020     | 0.1042       | 0.2963       |             | 1.1390   | 0.401  
45     | 4.6931     | 0.5920     | 3.4005     | 0.5976     | 0.1031     | 0.1145       | 0.3643       |             | 1.1403   | 0.479  
46     | 5.3290     | 0.6194     | 3.9863     | 0.6180     | 0.1052     | 0.1210       | 0.3507       |             | 1.1202   | 0.472  
47     | 5.6049     | 0.6496     | 4.2280     | 0.6183     | 0.1090     | 0.1304       | 0.3753       |             | 0.9682   | 0.506  
48     | 5.8335     | 0.6470     | 4.4286     | 0.6473     | 0.1106     | 0.1127       | 0.4067       |             | 1.0232   | 0.519  
49     | 5.5262     | 0.6387     | 4.1747     | 0.6024     | 0.1104     | 0.1671       | 0.3181       |             | 1.0290   | 0.485  
50     | 6.1053     | 0.6820     | 4.6681     | 0.6380     | 0.1172     | 0.1454       | 0.3772       |             | 1.1193   | 0.523  
51     | 5.9673     | 0.6361     | 4.5710     | 0.6476     | 0.1127     | 0.0936       | 0.3766       | (saved)     | 1.1192   | 0.470  
52     | 5.6918     | 0.6602     | 4.3063     | 0.6165     | 0.1088     | 0.1103       | 0.3565       | (saved)     | 1.0424   | 0.467  
53     | 5.5320     | 0.6062     | 4.2421     | 0.5826     | 0.1011     | 0.1336       | 0.3818       |             | 1.0195   | 0.515  
54     | 5.7405     | 0.6249     | 4.4202     | 0.5934     | 0.1021     | 0.1119       | 0.3560       |             | 1.0486   | 0.468  
55     | 6.3785     | 0.6842     | 4.9615     | 0.6197     | 0.1130     | 0.1317       | 0.3346       | (saved)     | 1.0340   | 0.466  
56     | 6.0989     | 0.6763     | 4.7386     | 0.5776     | 0.1063     | 0.1369       | 0.2847       | (saved)     | 0.9526   | 0.422  
57     | 5.9184     | 0.6205     | 4.6431     | 0.5532     | 0.1016     | 0.1102       | 0.2517       | (saved)     | 0.8855   | 0.362  
