Mode: Fusion | Features: RSSI(4) + RTT(1)
Model Input Dimension: 5
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
---------------------------------------------------------------------------------------------------------------------------------------
1      | 13.3063    | 3.6993     | 5.5151     | 3.6731     | 0.4188     | 3.1696       | 3.5932       |             | 2.3847   | 6.763  
2      | 12.0052    | 3.1597     | 5.3893     | 3.2449     | 0.2112     | 2.7774       | 2.9536       |             | 2.1176   | 5.731  
3      | 10.9537    | 2.9336     | 5.2745     | 2.5889     | 0.1567     | 2.5698       | 2.2043       |             | 2.0999   | 4.774  
4      | 9.9918     | 2.7593     | 5.1116     | 1.9819     | 0.1391     | 2.3044       | 1.9091       |             | 2.3098   | 4.213  
5      | 9.1366     | 2.5740     | 4.8836     | 1.5617     | 0.1173     | 2.0510       | 1.4748       |             | 2.2604   | 3.526  
6      | 8.3138     | 2.3763     | 4.6295     | 1.2054     | 0.1027     | 2.1430       | 0.8246       |             | 2.3149   | 2.968  
7      | 7.5712     | 2.1852     | 4.3186     | 0.9625     | 0.1048     | 1.6848       | 0.8061       |             | 2.2921   | 2.491  
8      | 6.9366     | 2.0084     | 4.0062     | 0.8214     | 0.1006     | 1.6721       | 0.7811       |             | 2.2205   | 2.453  
9      | 6.3685     | 1.8339     | 3.6939     | 0.7340     | 0.1067     | 1.4851       | 0.7246       |             | 2.2964   | 2.210  
10     | 5.7357     | 1.6672     | 3.3082     | 0.6578     | 0.1025     | 1.2693       | 0.8162       |             | 2.2463   | 2.086  
11     | 5.3702     | 1.5609     | 3.0744     | 0.6178     | 0.1171     | 1.5654       | 0.4741       |             | 2.2441   | 2.040  
12     | 4.8491     | 1.4814     | 2.7303     | 0.5480     | 0.0893     | 1.0378       | 0.6743       |             | 2.2294   | 1.712  
13     | 4.4498     | 1.4162     | 2.4616     | 0.4770     | 0.0950     | 1.1759       | 0.6014       |             | 2.2247   | 1.777  
14     | 4.3045     | 1.3772     | 2.3555     | 0.4799     | 0.0920     | 1.1476       | 0.4317       |             | 2.2290   | 1.579  
15     | 3.7922     | 1.2475     | 2.0333     | 0.4213     | 0.0901     | 1.2101       | 0.3529       |             | 2.2091   | 1.563  
16     | 3.6616     | 1.2408     | 1.9193     | 0.4195     | 0.0820     | 0.9935       | 0.4519       |             | 2.1846   | 1.445  
17     | 3.6203     | 1.2193     | 1.8764     | 0.4354     | 0.0892     | 1.0496       | 0.4082       |             | 2.1713   | 1.458  
18     | 3.2486     | 1.1496     | 1.6444     | 0.3724     | 0.0821     | 0.8306       | 0.5516       |             | 2.1440   | 1.382  
19     | 3.1418     | 1.0882     | 1.5887     | 0.3822     | 0.0828     | 0.9078       | 0.3846       |             | 2.1622   | 1.292  
20     | 2.9236     | 1.0513     | 1.4388     | 0.3452     | 0.0883     | 1.2578       | 0.2821       |             | 2.2389   | 1.540  
