Combo,Avg_Src_Acc,Avg_Src_MDE,Avg_Tgt_Acc,Avg_Tgt_MDE,Seeds_Detail
Fusion_DAFI_1_2_3_4,98.5714,0.0249,33.7415,0.9958,"[42, 6767, 123456]"
Fusion_DAFI_1_2_3_4,98.5714,0.0222,41.3265,0.8544,"[42, 6767, 123456]"
Fusion_DAFI_1_2_3,97.7891,0.0333,37.3469,0.9294,"[42, 6767, 123456]"
Fusion_DAFI_1_2_4,98.2653,0.0258,36.0204,0.8981,"[42, 6767, 123456]"
Fusion_DAFI_1_3_4,97.7211,0.0392,34.5238,0.9935,"[42, 6767, 123456]"
Fusion_DAFI_2_3_4,97.7551,0.0311,30.4422,1.1883,"[42, 6767, 123456]"
Fusion_DAFI_1_2,98.0272,0.0349,35.6122,0.9896,"[42, 6767, 123456]"
Fusion_DAFI_1_3,97.3810,0.0485,28.3673,1.1242,"[42, 6767, 123456]"
Fusion_DAFI_1_4,97.5170,0.0418,28.0272,1.1030,"[42, 6767, 123456]"
Fusion_DAFI_2_3,96.3605,0.0545,26.0204,1.1202,"[42, 6767, 123456]"
Fusion_DAFI_2_4,97.1769,0.0420,20.9184,1.4217,"[42, 6767, 123456]"
Fusion_DAFI_3_4,96.6667,0.0613,22.8912,1.3319,"[42, 6767, 123456]"
Fusion_DAFI_1,96.2245,0.0739,26.2245,1.1173,"[42, 6767, 123456]"
Fusion_DAFI_2,95.4762,0.0751,22.2449,1.4790,"[42, 6767, 123456]"
Fusion_DAFI_3,94.5578,0.0994,19.0476,1.4512,"[42, 6767, 123456]"
Fusion_DAFI_4,95.5102,0.0806,21.0544,1.5345,"[42, 6767, 123456]"
Fusion_DAFI_1_2_3_4,98.5714,0.0275,32.6531,0.9406,"[42, 6767, 123456]"
Fusion_DAFI_1_2_3,98.0612,0.0311,34.4898,0.9633,"[42, 6767, 123456]"
Fusion_DAFI_1_2_4,98.6735,0.0235,34.2857,0.9070,"[42, 6767, 123456]"
Fusion_DAFI_1_3_4,97.9932,0.0354,37.3810,0.9452,"[42, 6767, 123456]"
Fusion_DAFI_2_3_4,97.8912,0.0348,27.0068,0.9545,"[42, 6767, 123456]"
Fusion_DAFI_1_2,97.4490,0.0458,34.6599,1.0004,"[42, 6767, 123456]"
Fusion_DAFI_1_3,97.1088,0.0539,39.3878,0.8967,"[42, 6767, 123456]"
Fusion_DAFI_1_4,97.7211,0.0417,37.3129,1.0021,"[42, 6767, 123456]"
Fusion_DAFI_2_3,96.7347,0.0464,26.1565,1.0413,"[42, 6767, 123456]"
Fusion_DAFI_2_4,97.2449,0.0439,25.8503,1.0627,"[42, 6767, 123456]"
Fusion_DAFI_3_4,96.5646,0.0709,27.7891,1.0778,"[42, 6767, 123456]"
Fusion_DAFI_1,96.7347,0.0625,34.2517,1.0760,"[42, 6767, 123456]"
Fusion_DAFI_2,95.7823,0.0771,24.6599,1.2788,"[42, 6767, 123456]"
Fusion_DAFI_3,93.9796,0.1107,29.1156,1.1153,"[42, 6767, 123456]"
Fusion_DAFI_4,96.4286,0.0664,31.0884,1.1322,"[42, 6767, 123456]"
Fusion_DAFI_1_2_3_4,98.7075,0.0203,32.7891,0.8714,"[42, 6767, 123456]"
Fusion_DAFI_1_2_3,98.2653,0.0334,31.4286,0.9602,"[42, 6767, 123456]"
Fusion_DAFI_1_2_4,98.5714,0.0198,30.4762,0.9704,"[42, 6767, 123456]"
Fusion_DAFI_1_3_4,98.1293,0.0345,33.0612,0.9710,"[42, 6767, 123456]"
Fusion_DAFI_2_3_4,97.7551,0.0379,33.0612,0.9715,"[42, 6767, 123456]"
Fusion_DAFI_1_2,97.8571,0.0328,27.6531,1.2436,"[42, 6767, 123456]"
Fusion_DAFI_1_3,97.0408,0.0570,32.7891,0.9882,"[42, 6767, 123456]"
Fusion_DAFI_1_4,97.7211,0.0395,24.2517,1.2356,"[42, 6767, 123456]"
Fusion_DAFI_2_3,96.5306,0.0560,24.0136,1.0757,"[42, 6767, 123456]"
Fusion_DAFI_2_4,97.1769,0.0475,23.1633,1.2829,"[42, 6767, 123456]"
Fusion_DAFI_3_4,96.7347,0.0608,28.1633,1.1727,"[42, 6767, 123456]"
Fusion_DAFI_1,95.9184,0.0866,26.7687,1.0413,"[42, 6767, 123456]"
Fusion_DAFI_2,95.2721,0.0825,17.7211,1.5239,"[42, 6767, 123456]"
Fusion_DAFI_3,93.2653,0.1197,22.6531,1.2298,"[42, 6767, 123456]"
Fusion_DAFI_4,95.7483,0.0824,21.7347,1.4066,"[42, 6767, 123456]"

Fusion_DAFI_1_2_3_4,98.1293,0.0263,29.9660,1.0029,"[42, 6767, 123456]"
Fusion_DAFI_1_2_3,98.2993,0.0262,30.8503,1.0188,"[42, 6767, 123456]"
Fusion_DAFI_1_2_4,98.7415,0.0194,35.4082,0.9400,"[42, 6767, 123456]"
Fusion_DAFI_1_3_4,98.1973,0.0298,30.7143,1.1087,"[42, 6767, 123456]"
Fusion_DAFI_2_3_4,98.0952,0.0300,30.5782,1.1043,"[42, 6767, 123456]"

Fusion_DAFI_1_2_3_4,98.4354,0.0266,29.3197,0.9750,"[42, 6767, 123456]"
Fusion_DAFI_1_2_3_4,98.6735,0.0272,30.7143,1.2218,"[42, 6767, 123456]"
Fusion_DAFI_1_2_3_4,95.6463,0.1098,9.5238,2.5823,"[42, 6767, 123456]"
Fusion_DAFI_1_2_3_4,98.0612,0.0395,35.2041,1.0317,"[42, 6767, 123456]"
Fusion_DAFI_1_2_3_4,98.0952,0.0389,35.9184,0.9705,"[42, 6767, 123456]"
