Combo,Avg_Src_Acc,Avg_Src_MDE,Avg_Tgt_Acc,Avg_Tgt_MDE,Seeds_Detail

// 2026/1/14 data leakage fix
Fusion_RTT_1,97.9592,0.0346,26.1565,1.2118,"[42, 6767, 123456]"
Fusion_RTT_2,97.3810,0.0396,22.5850,1.4561,"[42, 6767, 123456]"
Fusion_RTT_3,96.2245,0.0745,17.8231,1.4816,"[42, 6767, 123456]"
Fusion_RTT_4,97.3469,0.0461,17.6531,1.6787,"[42, 6767, 123456]"
Fusion_RTT_1_2,99.0136,0.0160,35.2721,1.0301,"[42, 6767, 123456]"
Fusion_RTT_1_3,98.5374,0.0216,28.1973,1.1634,"[42, 6767, 123456]"
Fusion_RTT_1_4,98.7755,0.0181,25.5442,1.2262,"[42, 6767, 123456]"
Fusion_RTT_2_3,98.3673,0.0208,24.8980,1.2601,"[42, 6767, 123456]"
Fusion_RTT_2_4,98.6395,0.0201,26.0884,1.2834,"[42, 6767, 123456]"
Fusion_RTT_3_4,98.3333,0.0344,22.5170,1.4185,"[42, 6767, 123456]"
Fusion_RTT_1_2_3,99.2517,0.0079,32.0408,0.9548,"[42, 6767, 123456]"
Fusion_RTT_1_2_4,99.4898,0.0088,34.4898,0.9453,"[42, 6767, 123456]"
Fusion_RTT_1_3_4,99.2177,0.0129,31.7007,1.0729,"[42, 6767, 123456]"
Fusion_RTT_2_3_4,99.0136,0.0175,28.1633,1.1125,"[42, 6767, 123456]"
Fusion_RTT_1_2_3_4,99.2517,0.0116,36.7007,0.8840,"[42, 6767, 123456]"
Only_RTT_1,39.8299,1.9775,21.1565,2.2645,"[42, 6767, 123456]"
Only_RTT_2,37.5510,1.8339,13.6054,2.6864,"[42, 6767, 123456]"
Only_RTT_3,40.3741,1.6041,15.5442,2.3374,"[42, 6767, 123456]"
Only_RTT_4,38.1973,2.0698,8.6054,2.4072,"[42, 6767, 123456]"
Only_RTT_1_2,79.9660,0.4875,28.6735,1.5338,"[42, 6767, 123456]"
Only_RTT_1_3,81.9048,0.2783,33.6054,0.9472,"[42, 6767, 123456]"
Only_RTT_1_4,86.5646,0.2589,30.7823,1.0369,"[42, 6767, 123456]"
Only_RTT_2_3,82.1088,0.2514,32.7551,0.9860,"[42, 6767, 123456]"
Only_RTT_2_4,85.7823,0.2763,24.1837,1.1073,"[42, 6767, 123456]"
Only_RTT_3_4,76.4626,0.8225,14.3197,2.5528,"[42, 6767, 123456]"
Only_RTT_1_2_3,92.4490,0.0923,40.2041,0.8767,"[42, 6767, 123456]"
Only_RTT_1_2_4,96.1905,0.0546,33.4354,0.8447,"[42, 6767, 123456]"
Only_RTT_1_3_4,94.3878,0.0917,33.3333,0.9863,"[42, 6767, 123456]"
Only_RTT_2_3_4,95.0680,0.0678,31.1565,0.9581,"[42, 6767, 123456]"
Only_RTT_1_2_3_4,98.0952,0.0269,43.0272,0.7528,"[42, 6767, 123456]"

// 2026/1/23 fix
Fusion_RTT_1,97.5170,0.0456,27.1088,1.1989,"[42, 6767, 123456]"
Fusion_RTT_2,97.2109,0.0426,20.3401,1.4190,"[42, 6767, 123456]"
Fusion_RTT_3,95.7823,0.0787,21.7347,1.3224,"[42, 6767, 123456]"
Fusion_RTT_4,96.9388,0.0583,21.0204,1.4688,"[42, 6767, 123456]"
Fusion_RTT_1_2,98.6054,0.0205,29.7619,1.0610,"[42, 6767, 123456]"
Fusion_RTT_1_3,98.2313,0.0269,30.3741,1.0513,"[42, 6767, 123456]"
Fusion_RTT_1_4,98.4354,0.0241,28.8435,1.0571,"[42, 6767, 123456]"
Fusion_RTT_2_3,98.1973,0.0299,23.5714,1.0962,"[42, 6767, 123456]"
Fusion_RTT_2_4,98.2313,0.0248,23.4354,1.2392,"[42, 6767, 123456]"
Fusion_RTT_3_4,97.8231,0.0354,23.9116,1.2069,"[42, 6767, 123456]"
Fusion_RTT_1_2_3,98.9116,0.0164,34.5578,0.8742,"[42, 6767, 123456]"
Fusion_RTT_1_2_4,99.0136,0.0165,32.3129,0.8481,"[42, 6767, 123456]"
Fusion_RTT_1_3_4,98.6054,0.0221,29.9660,1.0854,"[42, 6767, 123456]"
Fusion_RTT_2_3_4,98.4014,0.0236,25.9184,1.0500,"[42, 6767, 123456]"
Fusion_RTT_1_2_3_4,99.2517,0.0080,35.4422,0.8303,"[42, 6767, 123456]"
Only_RTT_1,41.6327,1.9579,19.4218,2.5012,"[42, 6767, 123456]"
Only_RTT_2,39.5578,1.8543,7.0068,2.7364,"[42, 6767, 123456]"
Only_RTT_3,42.6190,1.5850,13.1293,2.6089,"[42, 6767, 123456]"
Only_RTT_4,40.1361,1.8807,5.4762,2.4988,"[42, 6767, 123456]"
Only_RTT_1_2,84.0136,0.4113,25.4762,1.7861,"[42, 6767, 123456]"
Only_RTT_1_3,81.8707,0.2804,32.1769,1.1903,"[42, 6767, 123456]"
Only_RTT_1_4,86.5306,0.2636,28.4014,1.0553,"[42, 6767, 123456]"
Only_RTT_2_3,82.4150,0.2476,29.0136,1.1555,"[42, 6767, 123456]"
Only_RTT_2_4,86.3946,0.2502,15.9524,1.3298,"[42, 6767, 123456]"
Only_RTT_3_4,75.9864,0.8074,18.6395,2.4505,"[42, 6767, 123456]"
Only_RTT_1_2_3,92.9592,0.0964,32.8912,0.9752,"[42, 6767, 123456]"
Only_RTT_1_2_4,96.9388,0.0449,27.9932,0.9687,"[42, 6767, 123456]"
Only_RTT_1_3_4,94.1497,0.1043,32.8231,1.0514,"[42, 6767, 123456]"
Only_RTT_2_3_4,94.6599,0.0857,26.0204,1.0212,"[42, 6767, 123456]"
Only_RTT_1_2_3_4,97.6190,0.0307,34.4898,0.8237,"[42, 6767, 123456]"

// 2026/1/28 fix
Fusion_RTT_1,97.9592,0.0300,27.2789,1.1661,"[42, 6767, 123456]"
Fusion_RTT_2,97.1088,0.0433,19.0136,1.3169,"[42, 6767, 123456]"
Fusion_RTT_3,95.3741,0.0823,23.7755,1.3104,"[42, 6767, 123456]"
Fusion_RTT_4,96.8027,0.0559,22.8571,1.2879,"[42, 6767, 123456]"
Fusion_RTT_1_2,98.8435,0.0164,31.0884,1.0491,"[42, 6767, 123456]"
Fusion_RTT_1_3,98.4014,0.0271,30.1361,1.0576,"[42, 6767, 123456]"
Fusion_RTT_1_4,98.9116,0.0162,29.7959,1.0027,"[42, 6767, 123456]"
Fusion_RTT_2_3,97.6190,0.0305,25.3401,1.0540,"[42, 6767, 123456]"
Fusion_RTT_2_4,97.9932,0.0249,22.6871,1.1986,"[42, 6767, 123456]"
Fusion_RTT_3_4,97.6871,0.0409,28.3673,1.1529,"[42, 6767, 123456]"
Fusion_RTT_1_2_3,99.1156,0.0094,30.0000,0.9847,"[42, 6767, 123456]"
Fusion_RTT_1_2_4,99.1497,0.0102,31.2585,1.0352,"[42, 6767, 123456]"
Fusion_RTT_1_3_4,98.6395,0.0215,32.8231,1.0650,"[42, 6767, 123456]"
Fusion_RTT_2_3_4,98.4014,0.0228,30.2721,0.9999,"[42, 6767, 123456]"
Fusion_RTT_1_2_3_4,99.2177,0.0103,33.2313,0.9096,"[42, 6767, 123456]"
Only_RTT_1,39.8299,2.0100,19.7959,2.5978,"[42, 6767, 123456]"
Only_RTT_2,38.5714,1.8732,8.5374,2.8252,"[42, 6767, 123456]"
Only_RTT_3,41.5306,1.6311,11.4966,2.4908,"[42, 6767, 123456]"
Only_RTT_4,31.6667,2.1405,6.9728,2.6282,"[42, 6767, 123456]"
Only_RTT_1_2,84.0816,0.4157,24.1156,1.8352,"[42, 6767, 123456]"
Only_RTT_1_3,80.0340,0.3007,30.6803,1.2632,"[42, 6767, 123456]"
Only_RTT_1_4,85.0000,0.2760,29.2517,1.2499,"[42, 6767, 123456]"
Only_RTT_2_3,82.3810,0.2366,32.4830,0.9596,"[42, 6767, 123456]"
Only_RTT_2_4,80.9864,0.3208,20.2041,1.2693,"[42, 6767, 123456]"
Only_RTT_3_4,72.7891,0.8628,15.1701,2.4101,"[42, 6767, 123456]"
Only_RTT_1_2_3,93.2313,0.0851,30.1361,0.9889,"[42, 6767, 123456]"
Only_RTT_1_2_4,95.4082,0.0490,31.0884,0.9497,"[42, 6767, 123456]"
Only_RTT_1_3_4,93.8095,0.0997,29.6259,1.1852,"[42, 6767, 123456]"
Only_RTT_2_3_4,92.4150,0.1079,28.9456,1.0200,"[42, 6767, 123456]"
Only_RTT_1_2_3_4,96.6327,0.0347,29.5918,0.9443,"[42, 6767, 123456]"

// 2026/2/4 fix
Fusion_RTT_1,97.9592,0.0335,35.3061,1.1119,"[42, 6767, 123456]"
Fusion_RTT_2,97.2789,0.0454,25.0000,1.2927,"[42, 6767, 123456]"
Fusion_RTT_3,95.6463,0.0823,26.8027,1.1461,"[42, 6767, 123456]"
Fusion_RTT_4,97.0408,0.0499,27.5170,1.2734,"[42, 6767, 123456]"
Fusion_RTT_1_2,98.8435,0.0203,33.0272,1.1816,"[42, 6767, 123456]"
Fusion_RTT_1_3,98.3333,0.0224,38.6735,0.9541,"[42, 6767, 123456]"
Fusion_RTT_1_4,98.3333,0.0195,35.8163,0.9697,"[42, 6767, 123456]"
Fusion_RTT_2_3,97.7551,0.0294,29.0476,0.9671,"[42, 6767, 123456]"
Fusion_RTT_2_4,98.0272,0.0261,27.2109,0.9702,"[42, 6767, 123456]"
Fusion_RTT_3_4,97.6871,0.0464,33.1973,1.0329,"[42, 6767, 123456]"
Fusion_RTT_1_2_3,98.9456,0.0173,32.8912,0.8628,"[42, 6767, 123456]"
Fusion_RTT_1_2_4,99.0136,0.0114,31.9728,0.8745,"[42, 6767, 123456]"
