Combo,Avg_Src_Acc,Avg_Src_MDE,Avg_Tgt_Acc,Avg_Tgt_MDE,Seeds_Detail

// 2026/1/14 調整 dann fusiondann 數據 (without_entropy_model_delection)
Fusion_RTT_1,98.1633,0.0313,25.5102,1.1996,"[42, 6767, 123456]"
Fusion_RTT_1,98.1633,0.0313,25.5102,1.1996,"[42, 6767, 123456]"
Fusion_RTT_2,97.4490,0.0364,26.3265,1.3493,"[42, 6767, 123456]"
Fusion_RTT_3,96.1224,0.0782,17.8912,1.5630,"[42, 6767, 123456]"
Fusion_RTT_4,97.3469,0.0484,18.9116,1.6115,"[42, 6767, 123456]"
Fusion_RTT_1_2,99.0816,0.0142,33.3673,1.0988,"[42, 6767, 123456]"
Fusion_RTT_1_3,98.1633,0.0267,25.0340,1.2202,"[42, 6767, 123456]"
Fusion_RTT_1_4,98.8435,0.0204,27.7891,1.1806,"[42, 6767, 123456]"
Fusion_RTT_2_3,98.1973,0.0234,23.4354,1.2478,"[42, 6767, 123456]"
Fusion_RTT_2_4,98.4014,0.0221,23.8095,1.2904,"[42, 6767, 123456]"
Fusion_RTT_3_4,98.0612,0.0392,20.2721,1.5163,"[42, 6767, 123456]"
Fusion_RTT_1_2_3,99.0816,0.0107,32.1088,0.9867,"[42, 6767, 123456]"
Fusion_RTT_1_2_4,99.1837,0.0110,34.0476,1.0083,"[42, 6767, 123456]"
Fusion_RTT_1_3_4,99.2857,0.0125,30.9524,1.1068,"[42, 6767, 123456]"
Fusion_RTT_2_3_4,98.6735,0.0229,26.8027,1.1354,"[42, 6767, 123456]"
Fusion_RTT_1_2_3_4,99.3537,0.0109,39.0476,0.8763,"[42, 6767, 123456]"
Only_RTT_1,34.2177,2.0891,17.9932,2.3273,"[42, 6767, 123456]"
Only_RTT_2,35.8844,1.8956,10.5782,2.6214,"[42, 6767, 123456]"
Only_RTT_3,31.8027,1.8261,14.4558,2.5025,"[42, 6767, 123456]"
Only_RTT_4,29.6599,2.2571,9.1497,2.6573,"[42, 6767, 123456]"
Only_RTT_1_2,71.4966,0.6544,26.8707,1.6982,"[42, 6767, 123456]"
Only_RTT_1_3,77.9252,0.3047,33.6054,0.9831,"[42, 6767, 123456]"
Only_RTT_1_4,82.5170,0.3332,29.3878,1.0123,"[42, 6767, 123456]"
Only_RTT_2_3,74.3878,0.3396,33.6054,0.9672,"[42, 6767, 123456]"
