Combo,Avg_Src_Acc,Avg_Src_MDE,Avg_Tgt_Acc,Avg_Tgt_MDE,Seeds_Detail

// 2026/1/14
DNN_Fusion_RTT_1,98.9512,0.0172,22.3923,1.2452,"[42, 6767, 123456]"
DNN_Fusion_RTT_2,98.6168,0.0192,17.4433,1.5751,"[42, 6767, 123456]"
DNN_Fusion_RTT_3,97.9989,0.0353,15.5272,1.5600,"[42, 6767, 123456]"
DNN_Fusion_RTT_4,98.6508,0.0225,17.2902,1.5415,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2,99.5408,0.0062,27.9535,1.1454,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_3,99.2404,0.0112,23.4014,1.2394,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_4,99.4274,0.0079,24.4104,1.1739,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_3,99.2517,0.0089,19.2800,1.3028,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_4,99.4331,0.0074,22.1032,1.2295,"[42, 6767, 123456]"
DNN_Fusion_RTT_3_4,99.2404,0.0134,18.5431,1.5983,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_3,99.6712,0.0036,31.0091,0.9766,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_4,99.8016,0.0020,30.8220,0.9617,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_3_4,99.6939,0.0039,26.8707,1.1103,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_3_4,99.5465,0.0056,24.5748,1.0638,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_3_4,99.7166,0.0031,34.2800,0.9051,"[42, 6767, 123456]"
DNN_Only_RTT_1,39.6655,2.0068,16.6780,2.3660,"[42, 6767, 123456]"
DNN_Only_RTT_2,38.5091,1.8638,12.8571,2.6355,"[42, 6767, 123456]"
DNN_Only_RTT_3,42.4206,1.6777,12.5567,2.4868,"[42, 6767, 123456]"
DNN_Only_RTT_4,40.9977,1.9164,9.8526,2.4667,"[42, 6767, 123456]"
DNN_Only_RTT_1_2,85.1020,0.3715,27.1259,1.6494,"[42, 6767, 123456]"
DNN_Only_RTT_1_3,83.2313,0.2618,33.7075,0.9414,"[42, 6767, 123456]"
DNN_Only_RTT_1_4,89.9603,0.1941,30.5102,0.9706,"[42, 6767, 123456]"
DNN_Only_RTT_2_3,85.3458,0.2057,29.6259,1.1062,"[42, 6767, 123456]"
DNN_Only_RTT_2_4,88.7528,0.2051,22.9252,1.0854,"[42, 6767, 123456]"
