Combo,Avg_Src_Acc,Avg_Src_MDE,Avg_Tgt_Acc,Avg_Tgt_MDE,Seeds_Detail

// 2026/1/14 data leakage fix
DNN_Fusion_RTT_1,98.9512,0.0172,22.3356,1.2393,"[42, 6767, 123456]"
DNN_Fusion_RTT_2,98.6168,0.0192,17.3413,1.5734,"[42, 6767, 123456]"
DNN_Fusion_RTT_3,97.9989,0.0353,15.4082,1.5583,"[42, 6767, 123456]"
DNN_Fusion_RTT_4,98.6508,0.0225,17.3016,1.5353,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2,99.5408,0.0062,27.9195,1.1415,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_3,99.2404,0.0112,23.4354,1.2331,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_4,99.4274,0.0079,24.4048,1.1730,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_3,99.2517,0.0089,19.2007,1.3012,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_4,99.4331,0.0074,21.9955,1.2240,"[42, 6767, 123456]"
DNN_Fusion_RTT_3_4,99.2404,0.0134,18.6508,1.5964,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_3,99.6712,0.0036,30.9694,0.9709,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_4,99.8016,0.0020,30.9297,0.9518,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_3_4,99.6939,0.0039,26.9785,1.1050,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_3_4,99.5465,0.0056,24.6032,1.0587,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_3_4,99.7166,0.0031,34.4048,0.8981,"[42, 6767, 123456]"
DNN_Only_RTT_1,39.6655,2.0068,16.7574,2.3592,"[42, 6767, 123456]"
DNN_Only_RTT_2,38.5091,1.8638,12.7041,2.6360,"[42, 6767, 123456]"
DNN_Only_RTT_3,42.4206,1.6777,12.5850,2.4896,"[42, 6767, 123456]"
DNN_Only_RTT_4,40.9977,1.9164,9.8469,2.4690,"[42, 6767, 123456]"
DNN_Only_RTT_1_2,85.1020,0.3715,27.1939,1.6383,"[42, 6767, 123456]"
DNN_Only_RTT_1_3,83.2313,0.2618,33.8605,0.9366,"[42, 6767, 123456]"
DNN_Only_RTT_1_4,89.9603,0.1941,30.4082,0.9643,"[42, 6767, 123456]"
DNN_Only_RTT_2_3,85.3458,0.2057,29.6939,1.1054,"[42, 6767, 123456]"
DNN_Only_RTT_2_4,88.7528,0.2051,22.9478,1.0795,"[42, 6767, 123456]"
DNN_Only_RTT_3_4,79.6769,0.7047,13.5091,2.6262,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_3,94.7506,0.0655,39.3084,0.8799,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_4,97.8628,0.0276,34.3878,0.8081,"[42, 6767, 123456]"
DNN_Only_RTT_1_3_4,95.5102,0.0747,28.0612,0.9881,"[42, 6767, 123456]"
DNN_Only_RTT_2_3_4,96.8991,0.0465,28.9683,0.9136,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_3_4,98.6338,0.0163,40.2211,0.7306,"[42, 6767, 123456]"

// 2026/1/23 fix
DNN_Fusion_RTT_1,98.9512,0.0172,28.5658,1.1476,"[42, 6767, 123456]"
DNN_Fusion_RTT_2,98.6168,0.0192,20.2608,1.3531,"[42, 6767, 123456]"
DNN_Fusion_RTT_3,97.9989,0.0353,22.0748,1.3140,"[42, 6767, 123456]"
DNN_Fusion_RTT_4,98.6508,0.0225,20.0454,1.4628,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2,99.5408,0.0062,31.3832,0.9805,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_3,99.2404,0.0112,29.5125,1.0668,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_4,99.4274,0.0079,25.0567,1.1792,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_3,99.2517,0.0089,23.8719,1.0338,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_4,99.4331,0.0074,22.1939,1.2510,"[42, 6767, 123456]"
DNN_Fusion_RTT_3_4,99.2404,0.0134,20.5839,1.3614,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_3,99.6712,0.0036,33.7868,0.8288,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_4,99.8016,0.0020,29.7449,0.9565,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_3_4,99.6939,0.0039,27.0918,1.1425,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_3_4,99.5465,0.0056,22.7551,1.1505,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_3_4,99.7166,0.0031,29.8413,0.9139,"[42, 6767, 123456]"
DNN_Only_RTT_1,39.6655,2.0068,16.5306,2.5286,"[42, 6767, 123456]"
DNN_Only_RTT_2,38.5091,1.8638,7.5227,2.5706,"[42, 6767, 123456]"
DNN_Only_RTT_3,42.4206,1.6777,12.5624,2.7008,"[42, 6767, 123456]"
DNN_Only_RTT_4,40.9977,1.9164,5.8107,2.6907,"[42, 6767, 123456]"
DNN_Only_RTT_1_2,85.1020,0.3715,22.4036,1.9686,"[42, 6767, 123456]"
DNN_Only_RTT_1_3,83.2313,0.2618,32.9252,1.1813,"[42, 6767, 123456]"
DNN_Only_RTT_1_4,89.9603,0.1941,28.7925,1.0519,"[42, 6767, 123456]"
DNN_Only_RTT_2_3,85.3458,0.2057,28.6224,1.1830,"[42, 6767, 123456]"
DNN_Only_RTT_2_4,88.7528,0.2051,16.5760,1.3217,"[42, 6767, 123456]"
DNN_Only_RTT_3_4,79.6769,0.7047,16.5249,2.3389,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_3,94.7506,0.0655,35.1190,0.9601,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_4,97.8628,0.0276,29.2177,0.9290,"[42, 6767, 123456]"
DNN_Only_RTT_1_3_4,95.5102,0.0747,30.8050,1.0529,"[42, 6767, 123456]"
DNN_Only_RTT_2_3_4,96.8991,0.0465,24.6542,1.0320,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_3_4,98.6338,0.0163,33.2086,0.8645,"[42, 6767, 123456]"

// 2026/1/28 fix
DNN_Fusion_RTT_1,98.9512,0.0172,24.6995,1.2171,"[42, 6767, 123456]"
DNN_Fusion_RTT_2,98.6168,0.0192,20.5726,1.3149,"[42, 6767, 123456]"
DNN_Fusion_RTT_3,97.9989,0.0353,22.6247,1.2981,"[42, 6767, 123456]"
DNN_Fusion_RTT_4,98.6508,0.0225,21.2925,1.3104,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2,99.5408,0.0062,29.4161,1.0696,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_3,99.2404,0.0112,26.7290,1.1296,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_4,99.4274,0.0079,26.7120,1.0906,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_3,99.2517,0.0089,25.2154,1.1156,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_4,99.4331,0.0074,22.3186,1.1974,"[42, 6767, 123456]"
DNN_Fusion_RTT_3_4,99.2404,0.0134,24.9773,1.3178,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_3,99.6712,0.0036,29.2007,0.9908,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_4,99.8016,0.0020,30.4535,1.0158,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_3_4,99.6939,0.0039,27.6417,1.1096,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_3_4,99.5465,0.0056,28.1122,1.1027,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_3_4,99.7166,0.0031,30.1644,0.9950,"[42, 6767, 123456]"
DNN_Only_RTT_1,39.6655,2.0068,20.7540,2.4751,"[42, 6767, 123456]"
DNN_Only_RTT_2,38.5091,1.8638,9.7109,2.6438,"[42, 6767, 123456]"
DNN_Only_RTT_3,42.4206,1.6777,11.3549,2.4902,"[42, 6767, 123456]"
DNN_Only_RTT_4,40.9977,1.9164,6.6723,2.8265,"[42, 6767, 123456]"
DNN_Only_RTT_1_2,85.1020,0.3715,23.4127,1.8301,"[42, 6767, 123456]"
DNN_Only_RTT_1_3,83.2313,0.2618,30.9524,1.3292,"[42, 6767, 123456]"
DNN_Only_RTT_1_4,89.9603,0.1941,26.1281,1.2642,"[42, 6767, 123456]"
DNN_Only_RTT_2_3,85.3458,0.2057,28.2596,1.0196,"[42, 6767, 123456]"
DNN_Only_RTT_2_4,88.7528,0.2051,17.2846,1.2364,"[42, 6767, 123456]"
DNN_Only_RTT_3_4,79.6769,0.7047,11.8367,2.5668,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_3,94.7506,0.0655,30.6576,1.0007,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_4,97.8628,0.0276,30.7823,0.9695,"[42, 6767, 123456]"
DNN_Only_RTT_1_3_4,95.5102,0.0747,26.0941,1.2590,"[42, 6767, 123456]"
DNN_Only_RTT_2_3_4,96.8991,0.0465,25.9297,0.9795,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_3_4,98.6338,0.0163,29.3537,0.9551,"[42, 6767, 123456]"

// 2026/2/4 fix
DNN_Fusion_RTT_1,98.9512,0.0172,34.3934,1.1628,"[42, 6767, 123456]"
DNN_Fusion_RTT_2,98.6168,0.0192,24.5068,1.3052,"[42, 6767, 123456]"
DNN_Fusion_RTT_3,97.9989,0.0353,25.0340,1.1963,"[42, 6767, 123456]"
DNN_Fusion_RTT_4,98.6508,0.0225,25.5782,1.2820,"[42, 6767, 123456]"
