Combo,Avg_Src_Acc,Avg_Src_MDE,Avg_Tgt_Acc,Avg_Tgt_MDE,Seeds_Detail

// 2026/1/14 CDAN_v2_noRSSIDiff
FusionCDAN_1,97.6531,0.0451,28.3673,1.2469,"[42, 6767, 123456]"
FusionCDAN_2,96.8367,0.0455,25.9184,1.4325,"[42, 6767, 123456]"
FusionCDAN_3,96.0544,0.0757,16.4966,1.5556,"[42, 6767, 123456]"
FusionCDAN_4,96.9388,0.0512,17.5510,1.6057,"[42, 6767, 123456]"
FusionCDAN_1_2,98.6735,0.0190,34.0476,1.1052,"[42, 6767, 123456]"
FusionCDAN_1_3,98.4014,0.0216,35.1361,0.9846,"[42, 6767, 123456]"
FusionCDAN_1_4,98.6395,0.0193,26.3946,1.1782,"[42, 6767, 123456]"
FusionCDAN_2_3,97.8571,0.0327,32.5510,1.0401,"[42, 6767, 123456]"
FusionCDAN_2_4,97.8912,0.0265,26.9048,1.2285,"[42, 6767, 123456]"
FusionCDAN_3_4,98.3333,0.0296,21.5986,1.3734,"[42, 6767, 123456]"
FusionCDAN_1_2_3,99.0476,0.0122,40.2381,0.8941,"[42, 6767, 123456]"
FusionCDAN_1_2_4,99.2857,0.0097,37.0408,0.8827,"[42, 6767, 123456]"
FusionCDAN_1_3_4,98.7755,0.0173,29.7959,1.0136,"[42, 6767, 123456]"
FusionCDAN_2_3_4,98.5034,0.0215,32.9592,0.9559,"[42, 6767, 123456]"
FusionCDAN_1_2_3_4,99.2517,0.0092,41.8367,0.8084,"[42, 6767, 123456]"

// 2026/1/23 CDAN_v2_noRSSIDiff
FusionCDAN_1,96.7347,0.0555,28.1633,1.2510,"[42, 6767, 123456]"
FusionCDAN_2,96.0204,0.0651,22.9252,1.3780,"[42, 6767, 123456]"
FusionCDAN_3,95.1020,0.0895,25.6803,1.2676,"[42, 6767, 123456]"
FusionCDAN_4,96.8367,0.0516,22.2789,1.5047,"[42, 6767, 123456]"
FusionCDAN_1_2,98.6395,0.0195,32.9592,1.1053,"[42, 6767, 123456]"
FusionCDAN_1_3,97.7551,0.0262,33.6735,0.9915,"[42, 6767, 123456]"
FusionCDAN_1_4,98.6054,0.0205,30.8503,1.0563,"[42, 6767, 123456]"
FusionCDAN_2_3,97.8231,0.0314,28.3333,0.9578,"[42, 6767, 123456]"
FusionCDAN_2_4,98.3333,0.0186,26.3605,1.1304,"[42, 6767, 123456]"
FusionCDAN_3_4,96.7007,0.0588,26.3265,1.3061,"[42, 6767, 123456]"
FusionCDAN_1_2_3,98.9456,0.0112,35.1020,0.8978,"[42, 6767, 123456]"
FusionCDAN_1_2_4,99.1837,0.0111,33.2993,0.9199,"[42, 6767, 123456]"
FusionCDAN_1_3_4,98.9456,0.0195,36.0544,0.9753,"[42, 6767, 123456]"
FusionCDAN_2_3_4,98.6735,0.0178,32.2109,0.8938,"[42, 6767, 123456]"
FusionCDAN_1_2_3_4,99.3197,0.0090,36.6667,0.8369,"[42, 6767, 123456]"

// 2026/1/28 CDAN_v2_noRSSIDiff
FusionCDAN_1,97.1769,0.0431,32.2449,1.1894,"[42, 6767, 123456]"
FusionCDAN_2,97.1429,0.0381,23.4354,1.2872,"[42, 6767, 123456]"
FusionCDAN_3,95.9864,0.0758,24.4218,1.2653,"[42, 6767, 123456]"
FusionCDAN_4,96.9388,0.0518,27.2789,1.2336,"[42, 6767, 123456]"
