Combo,Avg_Src_Acc,Avg_Src_Acc_STD,Avg_Src_MDE,Avg_Src_MDE_STD,Avg_Tgt_Acc,Avg_Tgt_Acc_STD,Avg_Tgt_MDE,Avg_Tgt_MDE_STD,Seeds_Detail
CDAN,99.0816,0.4448,0.0136,0.0058,24.5918,5.5554,1.0503,0.0919,"[67, 423, 123456]"
CDAN+dace,99.0816,0.4448,0.0127,0.0074,28.5714,2.1814,0.9664,0.0701,"[67, 423, 123456]"
CDAN+dace+gac,98.9116,0.3117,0.0153,0.0065,25.4082,3.9481,0.9214,0.0442,"[67, 423, 123456]"
CDAN+gac,98.9456,0.5620,0.0136,0.0087,24.6259,6.8772,0.9106,0.1049,"[67, 423, 123456]"
CDAN+rssi_diff,98.7755,0.2041,0.0162,0.0055,25.6122,5.4312,0.9828,0.0813,"[67, 423, 123456]"
FusionCDAN,99.1497,0.2124,0.0144,0.0058,31.9728,3.6197,0.9015,0.0533,"[67, 423, 123456]"
CDAN+dace+rssi_diff,99.0136,0.1559,0.0142,0.0017,30.2381,2.3410,0.8395,0.0414,"[67, 423, 123456]"
FusionCDAN+rssi_diff,99.2517,0.0589,0.0113,0.0028,33.9796,4.8670,0.8498,0.0335,"[67, 423, 123456]"
FusionCDAN+dace,98.9796,0.3679,0.0171,0.0083,30.0680,0.5891,0.9281,0.0099,"[67, 423, 123456]"
FusionCDAN+dace+gac,98.7415,0.1559,0.0133,0.0017,31.3265,1.3344,0.8625,0.0587,"[67, 423, 123456]"
FusionCDAN+gac,98.9456,0.0589,0.0159,0.0055,31.3265,0.3535,0.8764,0.0800,"[67, 423, 123456]"
DuGDA,98.6054,0.3117,0.0183,0.0048,36.3265,1.9388,0.8262,0.0474,"[67, 423, 123456]"
