Combo,Avg_Src_Acc,Avg_Src_MDE,Avg_Tgt_Acc,Avg_Tgt_MDE,Seeds_Detail
// 6 rssi diff
GACDAN_1_2_3_4,98.5714,0.0176,43.6054,0.7583,"[1024, 42, 6767]"
// 4 rssi
GACDAN_1_2_3_4,98.7415,0.0207,40.2041,0.7404,"[1024, 42, 6767]"
// 4 rssi diff 2_4
GACDAN_1_2_3_4,98.8776,0.0200,46.9728,0.5508,"[1024, 42, 6767]"
GACDAN_1_2_3_4,98.8776,0.0200,46.9728,0.5508,"[1024, 42, 6767]"
GACDAN_1_2_3_4,98.8776,0.0200,46.9728,0.5508,"[1024, 42, 6767]"
GACDAN_1_2_3_4,98.8776,0.0200,46.9728,0.5508,"[1024, 42, 6767]"
GACDAN_1_2_3_4,98.8776,0.0200,46.9728,0.5508,"[1024, 42, 6767]"
