Combo,Avg_Src_Acc,Avg_Src_MDE,Avg_Tgt_Acc,Avg_Tgt_MDE,Seeds_Detail

// 2026/1/14 data leakage fix
FusionDANN_1,94.8639,0.0751,18.9116,1.2448,"[42, 6767, 123456]"
FusionDANN_2,94.1156,0.0951,20.1020,1.3453,"[42, 6767, 123456]"
FusionDANN_3,91.9388,0.1411,20.3061,1.5595,"[42, 6767, 123456]"
FusionDANN_4,94.3197,0.0946,20.6803,1.4994,"[42, 6767, 123456]"
FusionDANN_1_2,98.0272,0.0241,26.0204,1.0754,"[42, 6767, 123456]"
FusionDANN_1_3,96.3946,0.0571,26.6327,1.0768,"[42, 6767, 123456]"
FusionDANN_1_4,97.9932,0.0300,28.9796,1.1490,"[42, 6767, 123456]"
FusionDANN_2_3,97.2789,0.0297,32.2449,1.0450,"[42, 6767, 123456]"
FusionDANN_2_4,97.0748,0.0415,33.4354,1.0598,"[42, 6767, 123456]"
FusionDANN_3_4,96.2245,0.0738,26.7007,1.3434,"[42, 6767, 123456]"
FusionDANN_1_2_3,98.4694,0.0185,33.2313,0.8725,"[42, 6767, 123456]"
FusionDANN_1_2_4,98.9456,0.0124,37.8912,0.8915,"[42, 6767, 123456]"
FusionDANN_1_3_4,98.0952,0.0295,31.1224,1.1112,"[42, 6767, 123456]"
FusionDANN_2_3_4,98.1973,0.0193,39.6259,0.8234,"[42, 6767, 123456]"
FusionDANN_1_2_3_4,99.1837,0.0074,43.2993,0.7404,"[42, 6767, 123456]"

// 2026/1/23 
FusionDANN_1,95.0340,0.0767,31.7007,1.1474,"[42, 6767, 123456]"
FusionDANN_2,95.1701,0.0725,21.5306,1.2990,"[42, 6767, 123456]"
FusionDANN_3,92.3810,0.1188,21.8707,1.3756,"[42, 6767, 123456]"
FusionDANN_4,94.6939,0.0909,23.9796,1.3387,"[42, 6767, 123456]"
FusionDANN_1_2,98.0952,0.0252,32.1429,0.9612,"[42, 6767, 123456]"
FusionDANN_1_3,96.1565,0.0511,33.8435,0.9989,"[42, 6767, 123456]"
FusionDANN_1_4,97.5850,0.0415,28.6054,1.0850,"[42, 6767, 123456]"
FusionDANN_2_3,97.3469,0.0401,29.4898,0.9427,"[42, 6767, 123456]"
FusionDANN_2_4,97.4150,0.0318,24.7279,1.1169,"[42, 6767, 123456]"
FusionDANN_3_4,96.7687,0.0598,27.8571,1.2544,"[42, 6767, 123456]"
FusionDANN_1_2_3,98.4694,0.0216,33.9456,0.7974,"[42, 6767, 123456]"
FusionDANN_1_2_4,98.8776,0.0139,30.1701,0.8929,"[42, 6767, 123456]"
FusionDANN_1_3_4,98.3333,0.0272,35.0680,0.9612,"[42, 6767, 123456]"
FusionDANN_2_3_4,97.9252,0.0287,30.5102,0.9273,"[42, 6767, 123456]"
FusionDANN_1_2_3_4,98.9116,0.0151,34.4898,0.8762,"[42, 6767, 123456]"

// 2026/1/28
FusionDANN_1,94.9660,0.0675,28.9116,1.2196,"[42, 6767, 123456]"
FusionDANN_2,94.4898,0.0816,23.4354,1.3457,"[42, 6767, 123456]"
FusionDANN_3,92.1429,0.1353,22.7551,1.3177,"[42, 6767, 123456]"
FusionDANN_4,93.5034,0.1048,25.9184,1.2677,"[42, 6767, 123456]"
FusionDANN_1_2,98.0272,0.0252,30.4082,1.0496,"[42, 6767, 123456]"
FusionDANN_1_3,96.7007,0.0426,31.6327,1.0991,"[42, 6767, 123456]"
FusionDANN_1_4,97.4490,0.0367,30.6122,1.0417,"[42, 6767, 123456]"
FusionDANN_2_3,96.7347,0.0423,30.1701,0.9718,"[42, 6767, 123456]"
FusionDANN_2_4,96.1565,0.0415,31.5646,0.9569,"[42, 6767, 123456]"
FusionDANN_3_4,95.9864,0.0835,30.6122,1.1237,"[42, 6767, 123456]"
FusionDANN_1_2_3,98.7415,0.0166,37.4830,0.8142,"[42, 6767, 123456]"
FusionDANN_1_2_4,98.8435,0.0137,35.3401,0.9267,"[42, 6767, 123456]"
FusionDANN_1_3_4,98.2313,0.0317,34.3878,0.9855,"[42, 6767, 123456]"
FusionDANN_2_3_4,97.9252,0.0284,35.7823,0.8992,"[42, 6767, 123456]"
FusionDANN_1_2_3_4,98.8095,0.0169,35.5442,0.8959,"[42, 6767, 123456]"

// 2026/2/4
FusionDANN_1,95.0340,0.0689,32.9252,1.0766,"[42, 6767, 123456]"
FusionDANN_2,94.3197,0.0805,25.1020,1.1146,"[42, 6767, 123456]"
FusionDANN_3,92.0748,0.1345,25.8503,1.1853,"[42, 6767, 123456]"
FusionDANN_4,94.6259,0.0847,27.7891,1.1319,"[42, 6767, 123456]"
FusionDANN_1_2,97.8912,0.0265,37.3129,0.8216,"[42, 6767, 123456]"
FusionDANN_1_3,96.6327,0.0504,35.8163,0.9062,"[42, 6767, 123456]"
FusionDANN_1_4,98.0952,0.0241,39.1837,0.8219,"[42, 6767, 123456]"
FusionDANN_2_3,97.5510,0.0331,26.3946,0.9444,"[42, 6767, 123456]"
FusionDANN_2_4,97.5170,0.0344,25.0000,0.9091,"[42, 6767, 123456]"
FusionDANN_3_4,96.3605,0.0668,28.9116,1.0684,"[42, 6767, 123456]"
FusionDANN_1_2_3,98.6054,0.0203,39.8980,0.6485,"[42, 6767, 123456]"
FusionDANN_1_2_4,99.0136,0.0115,34.6939,0.6813,"[42, 6767, 123456]"
FusionDANN_1_3_4,98.0612,0.0327,39.8639,0.7845,"[42, 6767, 123456]"
FusionDANN_2_3_4,98.5374,0.0205,31.3605,0.8094,"[42, 6767, 123456]"
FusionDANN_1_2_3_4,99.1497,0.0125,38.4354,0.6414,"[42, 6767, 123456]"

// 2026/1/14 調整 dann fusiondann 數據
FusionDANN_1,94.7279,0.0742,24.0476,1.1045,"[42, 6767, 123456]"
FusionDANN_2,94.4558,0.0812,22.9592,1.4816,"[42, 6767, 123456]"
FusionDANN_3,91.9388,0.1241,16.7347,1.4510,"[42, 6767, 123456]"
FusionDANN_4,94.7959,0.0815,24.3537,1.2591,"[42, 6767, 123456]"
FusionDANN_1_2,98.1293,0.0256,38.2993,0.8396,"[42, 6767, 123456]"
FusionDANN_1_3,97.2449,0.0370,31.7347,0.9911,"[42, 6767, 123456]"
FusionDANN_1_4,97.6531,0.0320,31.5646,0.9885,"[42, 6767, 123456]"
FusionDANN_2_3,97.4150,0.0297,30.6122,1.0685,"[42, 6767, 123456]"
FusionDANN_2_4,97.9932,0.0233,29.4898,1.0738,"[42, 6767, 123456]"
FusionDANN_3_4,97.4150,0.0448,24.6259,1.2685,"[42, 6767, 123456]"
FusionDANN_1_2_3,98.7755,0.0143,42.6531,0.7899,"[42, 6767, 123456]"
FusionDANN_1_2_4,99.0476,0.0099,37.1088,0.8434,"[42, 6767, 123456]"
FusionDANN_1_3_4,98.7075,0.0220,31.5986,1.0718,"[42, 6767, 123456]"
FusionDANN_2_3_4,98.3333,0.0196,31.4966,0.9642,"[42, 6767, 123456]"
FusionDANN_1_2_3_4,99.0816,0.0111,36.7687,0.8353,"[42, 6767, 123456]"
