Combo,Avg_Src_Acc,Avg_Src_Acc_STD,Avg_Src_MDE,Avg_Src_MDE_STD,Avg_Tgt_Acc,Avg_Tgt_Acc_STD,Avg_Tgt_MDE,Avg_Tgt_MDE_STD,Seeds_Detail
FusionDANN_1_2_3_4,98.9796,0.1020,0.0160,0.0093,41.1565,0.3280,0.7078,0.0563,"[42, 6767, 123456]"
FusionDANN_1_2_3_4,98.9796,0.2700,0.0127,0.0057,27.9932,2.3142,0.9612,0.0716,"[42, 6767, 123456]"
FusionDANN_1_2_3_4,98.8435,0.1559,0.0153,0.0025,33.8095,3.6965,1.0494,0.0129,"[42, 6767, 123456]"

// s:2026-1-1 t:2026-2-4 (40) all rtt combo
FusionDANN_1,97.0408,1.1768,0.0526,0.0198,36.1905,1.3318,1.0875,0.0142,"[42, 6767, 123456]"
FusionDANN_2,96.4286,0.4676,0.0562,0.0056,25.7823,0.4822,1.3186,0.0307,"[42, 6767, 123456]"
FusionDANN_3,95.5102,0.8352,0.0784,0.0228,27.9592,0.5681,1.1476,0.0652,"[42, 6767, 123456]"
FusionDANN_4,96.3946,0.0589,0.0705,0.0062,24.8980,2.9592,1.2382,0.1097,"[42, 6767, 123456]"
FusionDANN_1_2,98.2313,0.5802,0.0282,0.0131,37.6871,0.2124,0.9174,0.1199,"[42, 6767, 123456]"
FusionDANN_1_3,98.1293,0.3863,0.0283,0.0074,37.6190,1.9424,0.9287,0.0477,"[42, 6767, 123456]"
FusionDANN_1_4,98.1293,0.9481,0.0283,0.0172,36.7687,2.9119,0.9277,0.0374,"[42, 6767, 123456]"
FusionDANN_2_3,97.7551,0.2041,0.0332,0.0039,30.9184,3.0150,0.8154,0.0596,"[42, 6767, 123456]"
FusionDANN_2_4,98.2653,0.4448,0.0261,0.0109,29.2517,2.7689,0.9079,0.0828,"[42, 6767, 123456]"
FusionDANN_3_4,97.6190,0.7726,0.0503,0.0152,29.6599,3.2031,1.0846,0.0927,"[42, 6767, 123456]"
FusionDANN_1_2_3,98.3673,0.1020,0.0247,0.0060,39.5918,4.2430,0.6924,0.0565,"[42, 6767, 123456]"
FusionDANN_1_2_4,98.7755,0.4676,0.0156,0.0065,39.1837,2.8352,0.6963,0.0890,"[42, 6767, 123456]"
FusionDANN_1_3_4,98.7075,0.0589,0.0209,0.0059,39.4558,1.7976,0.9378,0.0399,"[42, 6767, 123456]"
FusionDANN_2_3_4,98.4014,0.6151,0.0268,0.0097,33.3673,0.7143,0.8154,0.0056,"[42, 6767, 123456]"
FusionDANN_1_2_3_4,98.9796,0.1020,0.0160,0.0093,41.1565,0.3280,0.7078,0.0563,"[42, 6767, 123456]"
