Combo,Avg_Src_Acc,Avg_Src_Acc_STD,Avg_Src_MDE,Avg_Src_MDE_STD,Avg_Tgt_Acc,Avg_Tgt_Acc_STD,Avg_Tgt_MDE,Avg_Tgt_MDE_STD,Seeds_Detail
FusionDNN_RTT_1_2_3_4,99.8413,0.0260,0.0018,0.0007,37.4887,1.6143,0.6965,0.0083,"[42, 6767, 123456]"
FusionDNN_Only_RTT_1_2_3_4,98.7585,0.1640,0.0151,0.0021,26.4569,1.5499,0.8748,0.0358,"[42, 6767, 123456]"
FusionDNN_RTT_1_2_3_4,99.8413,0.0260,0.0018,0.0007,23.9569,3.0722,0.9808,0.0425,"[42, 6767, 123456]"
FusionDNN_Only_RTT_1_2_3_4,98.7585,0.1640,0.0151,0.0021,33.3730,1.4316,0.8712,0.0098,"[42, 6767, 123456]"
FusionDNN_RTT_1_2_3_4,99.8413,0.0260,0.0018,0.0007,32.7268,0.8203,1.0922,0.0421,"[42, 6767, 123456]"
FusionDNN_Only_RTT_1_2_3_4,98.7585,0.1640,0.0151,0.0021,35.0907,1.4214,0.8379,0.0548,"[42, 6767, 123456]"

// s:2026-1-1 t:2026-2-4 (40) all rtt combo
FusionDNN_RTT_1,98.8662,0.1704,0.0184,0.0022,31.4116,3.1320,1.2102,0.0366,"[42, 6767, 123456]"
FusionDNN_RTT_2,98.3447,0.2213,0.0230,0.0040,24.8810,0.9428,1.3777,0.0732,"[42, 6767, 123456]"
FusionDNN_RTT_3,97.7891,0.2673,0.0388,0.0053,27.2732,1.5606,1.1667,0.0623,"[42, 6767, 123456]"
FusionDNN_RTT_4,98.5941,0.1364,0.0233,0.0031,28.6224,2.4177,1.3262,0.0708,"[42, 6767, 123456]"
FusionDNN_RTT_1_2,99.4785,0.0687,0.0069,0.0017,36.1565,2.4186,0.9460,0.0865,"[42, 6767, 123456]"
FusionDNN_RTT_1_3,99.3764,0.0804,0.0091,0.0004,36.8821,0.3743,0.9169,0.0153,"[42, 6767, 123456]"
FusionDNN_RTT_1_4,99.4558,0.1062,0.0074,0.0015,37.9308,1.2401,0.9185,0.0220,"[42, 6767, 123456]"
FusionDNN_RTT_2_3,99.3141,0.1446,0.0085,0.0018,32.1032,3.0113,0.8896,0.0665,"[42, 6767, 123456]"
FusionDNN_RTT_2_4,99.4558,0.1226,0.0062,0.0008,29.1497,1.0888,0.9220,0.0135,"[42, 6767, 123456]"
FusionDNN_RTT_3_4,99.1553,0.0937,0.0152,0.0014,30.4025,0.7608,1.1251,0.0825,"[42, 6767, 123456]"
FusionDNN_RTT_1_2_3,99.6655,0.0708,0.0038,0.0003,38.8549,1.7184,0.6696,0.0261,"[42, 6767, 123456]"
FusionDNN_RTT_1_2_4,99.8243,0.0260,0.0015,0.0005,38.2540,0.9866,0.6821,0.0226,"[42, 6767, 123456]"
FusionDNN_RTT_1_3_4,99.6542,0.1446,0.0044,0.0016,36.8934,2.2901,0.8979,0.0534,"[42, 6767, 123456]"
FusionDNN_RTT_2_3_4,99.6088,0.1190,0.0050,0.0018,31.2075,2.3255,0.8740,0.0090,"[42, 6767, 123456]"
FusionDNN_RTT_1_2_3_4,99.8413,0.0260,0.0018,0.0007,37.4887,1.6143,0.6965,0.0083,"[42, 6767, 123456]"

FusionDNN_RTT_1,98.8662,0.1704,0.0184,0.0022,31.4116,3.1320,1.2102,0.0366,"[42, 6767, 123456]"
FusionDNN_RTT_2,98.3447,0.2213,0.0230,0.0040,24.8810,0.9428,1.3777,0.0732,"[42, 6767, 123456]"
FusionDNN_RTT_3,97.7891,0.2673,0.0388,0.0053,27.2732,1.5606,1.1667,0.0623,"[42, 6767, 123456]"
FusionDNN_RTT_4,98.5941,0.1364,0.0233,0.0031,28.6224,2.4177,1.3262,0.0708,"[42, 6767, 123456]"
FusionDNN_RTT_1_2,99.4785,0.0687,0.0069,0.0017,36.1565,2.4186,0.9460,0.0865,"[42, 6767, 123456]"
FusionDNN_RTT_1_3,99.3764,0.0804,0.0091,0.0004,36.8821,0.3743,0.9169,0.0153,"[42, 6767, 123456]"
FusionDNN_RTT_1_4,99.4558,0.1062,0.0074,0.0015,37.9308,1.2401,0.9185,0.0220,"[42, 6767, 123456]"
