Combo,Avg_Src_Acc,Avg_Src_Acc_STD,Avg_Src_MDE,Avg_Src_MDE_STD,Avg_Tgt_Acc,Avg_Tgt_Acc_STD,Avg_Tgt_MDE,Avg_Tgt_MDE_STD,Seeds_Detail
FusionDNN_PCN_RTT_1,98.8435,0.2230,0.0180,0.0021,32.1088,3.1405,1.1979,0.0955,"[42, 6767, 123456]"
FusionDNN_PCN_RTT_2,98.3730,0.0767,0.0235,0.0014,22.9592,1.3640,1.3392,0.0851,"[42, 6767, 123456]"
FusionDNN_PCN_RTT_3,97.9535,0.0708,0.0350,0.0011,27.9025,0.9538,1.1520,0.0197,"[42, 6767, 123456]"
FusionDNN_PCN_RTT_4,98.6621,0.1818,0.0226,0.0038,26.8878,2.2259,1.3459,0.0659,"[42, 6767, 123456]"
FusionDNN_PCN_RTT_1_2,99.4955,0.1080,0.0064,0.0019,36.5986,3.1377,1.0210,0.0962,"[42, 6767, 123456]"
FusionDNN_PCN_RTT_1_3,99.3707,0.1034,0.0092,0.0023,37.2789,0.9601,0.9155,0.0337,"[42, 6767, 123456]"

FusionDNN_PCN_RTT_1,99.1667,0.0900,0.0147,0.0034,28.6848,6.1237,1.1808,0.2137,"[42, 6767, 123456]"
FusionDNN_PCN_RTT_2,98.7415,0.0779,0.0172,0.0010,25.1190,1.2908,1.3268,0.1793,"[42, 6767, 123456]"
FusionDNN_PCN_RTT_3,98.4921,0.2167,0.0265,0.0043,21.1905,2.4330,1.3679,0.0594,"[42, 6767, 123456]"
FusionDNN_PCN_RTT_4,98.9683,0.0260,0.0189,0.0010,23.5884,2.7428,1.4010,0.0857,"[42, 6767, 123456]"
FusionDNN_PCN_RTT_1_2,99.5465,0.1364,0.0065,0.0024,31.8821,1.4631,0.9669,0.1087,"[42, 6767, 123456]"
FusionDNN_PCN_RTT_1_3,99.4444,0.0786,0.0091,0.0018,35.1417,1.1730,0.9903,0.1146,"[42, 6767, 123456]"
FusionDNN_PCN_RTT_1_4,99.6088,0.0850,0.0052,0.0009,35.8957,1.9587,0.9643,0.0634,"[42, 6767, 123456]"
FusionDNN_PCN_RTT_2_3,99.4161,0.0428,0.0073,0.0002,24.1723,3.6711,1.2751,0.3411,"[42, 6767, 123456]"
FusionDNN_PCN_RTT_2_4,99.4274,0.1466,0.0064,0.0011,24.1043,2.0335,1.0765,0.0354,"[42, 6767, 123456]"
FusionDNN_PCN_RTT_3_4,99.2971,0.0937,0.0136,0.0007,27.0295,2.1473,1.2028,0.0775,"[42, 6767, 123456]"
FusionDNN_PCN_RTT_1_2_3,99.6939,0.0295,0.0035,0.0003,36.7460,0.8775,0.7007,0.0190,"[42, 6767, 123456]"
FusionDNN_PCN_RTT_1_2_4,99.7166,0.0491,0.0027,0.0005,38.2313,0.8186,0.7071,0.0254,"[42, 6767, 123456]"
FusionDNN_PCN_RTT_1_3_4,99.7392,0.0098,0.0032,0.0002,35.1927,1.9198,0.9795,0.1452,"[42, 6767, 123456]"
FusionDNN_PCN_RTT_2_3_4,99.6485,0.0839,0.0044,0.0012,28.5091,2.6640,1.0123,0.0710,"[42, 6767, 123456]"
FusionDNN_PCN_RTT_1_2_3_4,99.8299,0.0340,0.0017,0.0003,38.9342,2.3304,0.6724,0.0416,"[42, 6767, 123456]"
FusionDNN_PCN_Only_RTT_1,94.8299,0.7435,0.1014,0.0098,17.6361,1.6601,1.4742,0.0514,"[42, 6767, 123456]"
FusionDNN_PCN_Only_RTT_2,91.3662,1.0638,0.1760,0.0192,17.9422,0.6948,1.8231,0.0437,"[42, 6767, 123456]"
FusionDNN_PCN_Only_RTT_3,92.2222,1.7053,0.1348,0.0306,13.2596,2.2193,1.7269,0.2533,"[42, 6767, 123456]"
FusionDNN_PCN_Only_RTT_4,92.8118,0.6848,0.1851,0.0315,15.6179,1.8460,2.0440,0.1571,"[42, 6767, 123456]"
FusionDNN_PCN_Only_RTT_1_2,96.6893,0.3657,0.0487,0.0089,24.2687,2.7791,1.2618,0.1352,"[42, 6767, 123456]"
FusionDNN_PCN_Only_RTT_1_3,94.3821,0.9702,0.0745,0.0100,19.4104,3.6871,1.5202,0.0867,"[42, 6767, 123456]"
FusionDNN_PCN_Only_RTT_1_4,96.4399,0.4344,0.0665,0.0052,22.9819,5.5853,1.2256,0.0836,"[42, 6767, 123456]"
FusionDNN_PCN_Only_RTT_2_3,94.2063,0.4507,0.0736,0.0120,20.4819,6.3090,1.3383,0.4666,"[42, 6767, 123456]"
FusionDNN_PCN_Only_RTT_2_4,96.3832,0.0786,0.0496,0.0042,20.9467,2.4417,1.2132,0.0509,"[42, 6767, 123456]"
FusionDNN_PCN_Only_RTT_3_4,96.2472,0.7033,0.0760,0.0241,20.9297,1.5962,1.3217,0.2127,"[42, 6767, 123456]"
FusionDNN_PCN_Only_RTT_1_2_3,97.0805,0.1093,0.0357,0.0014,33.2710,5.1548,0.7857,0.0608,"[42, 6767, 123456]"
FusionDNN_PCN_Only_RTT_1_2_4,98.2256,0.5652,0.0216,0.0074,30.7766,0.6888,0.8205,0.0516,"[42, 6767, 123456]"
FusionDNN_PCN_Only_RTT_1_3_4,96.9841,0.0644,0.0478,0.0041,24.6542,1.7041,1.1759,0.1284,"[42, 6767, 123456]"
FusionDNN_PCN_Only_RTT_2_3_4,97.7551,0.1034,0.0293,0.0014,22.0011,1.9391,1.1204,0.0492,"[42, 6767, 123456]"
FusionDNN_PCN_Only_RTT_1_2_3_4,98.7698,0.0260,0.0145,0.0009,28.3220,0.7144,0.8231,0.0309,"[42, 6767, 123456]"
