Combo,Avg_Src_Acc,Avg_Src_Acc_STD,Avg_Src_MDE,Avg_Src_MDE_STD,Avg_Tgt_Acc,Avg_Tgt_Acc_STD,Avg_Tgt_MDE,Avg_Tgt_MDE_STD,Seeds_Detail
GeoSPA_1_2,96.8367,0.6691,0.0487,0.0013,36.5646,4.9216,0.7935,0.0216,"[42, 67, 1024]"
GeoSPA_1_3,92.8912,3.9735,0.0998,0.0674,36.8707,6.1937,0.8442,0.1203,"[42, 67, 1024]"
GeoSPA_1_4,95.7483,2.1558,0.0777,0.0424,41.3946,5.8175,0.7945,0.1160,"[42, 67, 1024]"
GeoSPA_2_3,95.9184,1.4139,0.0537,0.0077,32.0408,3.8085,0.8411,0.0779,"[42, 67, 1024]"
GeoSPA_2_4,95.7143,0.6207,0.0659,0.0148,33.4014,2.2825,0.8554,0.1495,"[42, 67, 1024]"
GeoSPA_3_4,91.6327,2.6035,0.1527,0.0667,28.9456,7.1903,1.0139,0.1702,"[42, 67, 1024]"

// epoch 500 to 400 
GeoSPA_1_2,97.7211,0.3584,0.0325,0.0057,41.9388,2.6746,0.7253,0.1248,"[42, 67, 1024]"
GeoSPA_1_3,94.5578,1.4334,0.0817,0.0203,37.3469,7.6680,0.9103,0.1596,"[42, 67, 1024]"
GeoSPA_1_4,95.1701,3.2976,0.0792,0.0555,40.6122,7.9067,0.8058,0.2105,"[42, 67, 1024]"
GeoSPA_2_3,96.7007,1.0718,0.0468,0.0113,32.0408,2.5754,0.8291,0.0984,"[42, 67, 1024]"
GeoSPA_2_4,92.8912,5.6909,0.0900,0.0765,29.0136,3.7218,1.0274,0.3139,"[42, 67, 1024]"
GeoSPA_3_4,92.4830,2.4068,0.1244,0.0356,30.7483,0.4822,1.0312,0.0753,"[42, 67, 1024]"

// GeoSPA-Net v4 500 epoch
GeoSPA_1,92.6531,4.9487,0.1287,0.0868,31.8707,6.9270,1.0746,0.1540,"[42, 67, 1024]"
GeoSPA_2,91.5986,3.5821,0.1309,0.0578,28.2653,2.9433,1.1828,0.1822,"[42, 67, 1024]"
GeoSPA_3,91.9048,2.3587,0.1400,0.0375,27.4150,4.1878,1.1569,0.1786,"[42, 67, 1024]"
GeoSPA_4,94.1497,2.9738,0.0866,0.0328,26.6327,4.8670,1.1747,0.1285,"[42, 67, 1024]"
GeoSPA_1_2,97.0068,0.6946,0.0517,0.0071,38.2993,7.9109,0.7749,0.2498,"[42, 67, 1024]"
GeoSPA_1_3,94.6599,1.8377,0.0777,0.0289,37.2449,3.6062,0.7714,0.0824,"[42, 67, 1024]"
GeoSPA_1_4,95.7143,1.7407,0.0696,0.0384,47.7211,3.4246,0.7407,0.0396,"[42, 67, 1024]"
GeoSPA_2_3,95.4422,1.2677,0.0623,0.0196,35.1020,3.2220,0.7854,0.0668,"[42, 67, 1024]"
GeoSPA_2_4,97.3469,0.7143,0.0368,0.0080,34.9660,3.7525,0.7691,0.0658,"[42, 67, 1024]"
GeoSPA_3_4,96.7007,1.2301,0.0608,0.0229,36.2585,2.3565,0.9417,0.0704,"[42, 67, 1024]"
GeoSPA_1_2_3,98.2313,0.4601,0.0272,0.0059,43.5034,4.0948,0.5594,0.0731,"[42, 67, 1024]"
GeoSPA_1_2_4,98.5714,0.1020,0.0233,0.0014,45.6463,2.5517,0.5450,0.0324,"[42, 67, 1024]"
GeoSPA_1_3_4,97.4830,0.4822,0.0478,0.0139,48.4014,4.5649,0.6314,0.1010,"[42, 67, 1024]"
GeoSPA_2_3_4,98.1633,0.5681,0.0268,0.0038,38.1633,3.6321,0.6107,0.0180,"[42, 67, 1024]"
GeoSPA_1_2_3_4,98.5714,0.5399,0.0181,0.0066,49.0816,2.8626,0.4810,0.0700,"[42, 67, 1024]"

// GeoSPA-Net v4 500 epoch mask fix
GeoSPA_1,92.1088,5.8913,0.1294,0.0880,31.0204,8.3990,1.0887,0.1781,"[42, 67, 1024]"
GeoSPA_2,91.5986,3.5821,0.1309,0.0578,28.2653,2.9433,1.1828,0.1822,"[42, 67, 1024]"
GeoSPA_3,91.9048,2.3587,0.1400,0.0375,27.4150,4.1878,1.1569,0.1786,"[42, 67, 1024]"
GeoSPA_4,89.4218,8.2535,0.2124,0.1982,24.7619,2.7614,1.2125,0.1180,"[42, 67, 1024]"
GeoSPA_1_2,96.9048,0.8678,0.0537,0.0104,38.0952,7.9279,0.7427,0.2373,"[42, 67, 1024]"
GeoSPA_1_3,94.8299,2.1020,0.0773,0.0294,36.3946,2.1822,0.7934,0.0585,"[42, 67, 1024]"
GeoSPA_1_4,95.8844,1.8714,0.0659,0.0414,47.5170,3.5294,0.6741,0.0212,"[42, 67, 1024]"
