Combo,Avg_Src_Acc,Avg_Src_Acc_STD,Avg_Src_MDE,Avg_Src_MDE_STD,Avg_Tgt_Acc,Avg_Tgt_Acc_STD,Avg_Tgt_MDE,Avg_Tgt_MDE_STD,Seeds_Detail
GeoSPA_1_2,97.2789,0.5620,0.0433,0.0043,41.0544,3.9866,0.7730,0.1585,"[42, 67, 1024]"
GeoSPA_1_3,96.4286,1.0050,0.0594,0.0125,43.8776,2.5754,0.6887,0.0732,"[42, 67, 1024]"
GeoSPA_1_4,97.9592,0.4676,0.0357,0.0037,44.3197,3.5661,0.8060,0.0307,"[42, 67, 1024]"
GeoSPA_2_3,97.1769,0.4822,0.0409,0.0032,35.8503,2.1020,0.7902,0.0442,"[42, 67, 1024]"
GeoSPA_2_4,98.0612,0.3679,0.0262,0.0109,35.9184,2.1086,0.7880,0.0523,"[42, 67, 1024]"
GeoSPA_3_4,97.2109,0.7793,0.0546,0.0161,36.2925,2.2224,0.8806,0.0979,"[42, 67, 1024]"

// pcn fix
GeoSPA_1_2,94.9320,3.6369,0.0602,0.0298,33.7415,8.8777,0.7648,0.1269,"[42, 67, 1024]"
GeoSPA_1_3,95.6463,1.9530,0.0640,0.0093,35.8844,3.1057,0.8433,0.0617,"[42, 67, 1024]"
GeoSPA_1_4,94.9320,1.9316,0.0975,0.0416,42.0748,4.9512,0.8005,0.1502,"[42, 67, 1024]"
GeoSPA_2_3,94.3878,3.8167,0.0713,0.0430,26.5306,2.4126,0.9096,0.0643,"[42, 67, 1024]"
GeoSPA_2_4,82.1088,10.8146,0.3064,0.2208,20.6803,3.1851,1.2103,0.2412,"[42, 67, 1024]"
GeoSPA_3_4,90.0000,4.0083,0.1581,0.0849,30.8844,1.5317,1.1199,0.0286,"[42, 67, 1024]"

GeoSPA_1,92.1429,1.6983,0.1250,0.0326,25.8844,2.7119,1.1842,0.1509,"[42, 67, 1024]"
GeoSPA_2,86.4966,7.0588,0.2312,0.1804,26.1565,2.6459,1.4232,0.1740,"[42, 67, 1024]"
GeoSPA_3,90.2721,2.6498,0.1428,0.0251,24.7959,3.2701,1.1620,0.0319,"[42, 67, 1024]"
GeoSPA_4,84.0476,15.0873,0.3206,0.3340,22.9592,5.6197,1.2717,0.1650,"[42, 67, 1024]"
GeoSPA_1_2_3,97.9932,0.3863,0.0319,0.0039,46.1224,6.9829,0.5207,0.0542,"[42, 67, 1024]"
GeoSPA_1_2_4,98.2993,0.6794,0.0225,0.0072,45.6463,5.3611,0.5648,0.0473,"[42, 67, 1024]"
GeoSPA_1_3_4,97.9252,0.7239,0.0348,0.0049,48.7075,2.9615,0.6355,0.0237,"[42, 67, 1024]"
GeoSPA_2_3_4,98.2313,0.4124,0.0246,0.0059,35.2721,3.4185,0.6789,0.0786,"[42, 67, 1024]"
GeoSPA_1_2_3_4,98.8435,0.3117,0.0146,0.0024,46.3265,1.2030,0.5334,0.0806,"[42, 67, 1024]"
GeoSPA_1_2,96.5306,0.9840,0.0630,0.0179,31.5986,3.8416,0.9464,0.0749,"[42, 67, 1024]"
GeoSPA_1_3,93.0952,4.9417,0.1032,0.0690,39.0476,1.7918,0.8168,0.0922,"[42, 67, 1024]"
GeoSPA_1_4,95.5102,2.0485,0.0855,0.0489,42.7551,2.2976,0.7875,0.0382,"[42, 67, 1024]"
GeoSPA_2_3,92.5510,6.9049,0.0961,0.0782,32.2449,4.7654,0.8031,0.1387,"[42, 67, 1024]"
GeoSPA_2_4,96.7687,1.5620,0.0489,0.0212,28.8776,1.7937,0.9289,0.1101,"[42, 67, 1024]"
GeoSPA_3_4,94.6259,3.3384,0.1017,0.0551,33.7415,3.4893,0.9917,0.1676,"[42, 67, 1024]"

GeoSPA_1_2,95.9524,2.7689,0.0634,0.0250,36.6327,4.5210,0.6787,0.0396,"[42, 67, 1024]"
GeoSPA_1_3,96.8027,0.3584,0.0495,0.0050,37.3810,2.0970,0.7791,0.0608,"[42, 67, 1024]"
GeoSPA_1_4,97.7891,0.1559,0.0361,0.0038,40.2721,4.0833,0.7808,0.0357,"[42, 67, 1024]"
GeoSPA_2_3,95.1701,2.1069,0.0629,0.0239,29.2177,5.7735,0.9097,0.1830,"[42, 67, 1024]"
GeoSPA_2_4,97.1429,1.2786,0.0365,0.0152,29.3537,1.6337,0.8325,0.1036,"[42, 67, 1024]"
GeoSPA_3_4,96.8027,0.4822,0.0595,0.0111,30.2721,4.8578,0.9511,0.0364,"[42, 67, 1024]"
GeoSPA_1_2_3,98.1293,0.5034,0.0255,0.0044,39.6259,3.6297,0.6015,0.0351,"[42, 67, 1024]"
GeoSPA_1_2_4,98.6395,0.5891,0.0222,0.0080,44.1156,3.3601,0.6089,0.0615,"[42, 67, 1024]"
GeoSPA_1_3_4,98.2653,0.3679,0.0249,0.0084,46.3265,2.8075,0.7075,0.0673,"[42, 67, 1024]"
GeoSPA_2_3_4,97.9592,0.2700,0.0345,0.0026,33.0952,4.0616,0.7127,0.0842,"[42, 67, 1024]"
