Combo,Avg_Src_Acc,Avg_Src_Acc_STD,Avg_Src_MDE,Avg_Src_MDE_STD,Avg_Tgt_Acc,Avg_Tgt_Acc_STD,Avg_Tgt_MDE,Avg_Tgt_MDE_STD,Seeds_Detail
GeoSPA_1_2,98.0272,0.2124,0.0291,0.0031,38.4694,2.2565,0.8117,0.0194,"[42, 67, 1024]"
GeoSPA_1_3,95.8503,0.8798,0.0577,0.0140,39.5578,2.7196,0.7396,0.0593,"[42, 67, 1024]"
GeoSPA_1_4,97.9932,0.6794,0.0351,0.0122,43.4014,3.5235,0.8058,0.0660,"[42, 67, 1024]"
GeoSPA_2_3,97.3469,0.1767,0.0404,0.0042,32.7891,0.3863,0.8279,0.1069,"[42, 67, 1024]"
GeoSPA_2_4,97.7551,0.8099,0.0333,0.0067,35.0000,3.4498,0.7921,0.0429,"[42, 67, 1024]"
GeoSPA_3_4,96.7687,0.9805,0.0662,0.0222,36.1905,2.0160,0.8270,0.0434,"[42, 67, 1024]"
GeoSPA_1_2_3,97.6190,0.8558,0.0357,0.0104,45.4082,3.0663,0.5736,0.1408,"[42, 67, 1024]"
GeoSPA_1_2_4,98.4694,0.1020,0.0216,0.0035,40.6122,2.9273,0.5989,0.0548,"[42, 67, 1024]"
GeoSPA_1_3_4,97.9932,0.2946,0.0297,0.0093,51.2245,1.9441,0.5691,0.0965,"[42, 67, 1024]"
GeoSPA_2_3_4,98.2313,0.4248,0.0263,0.0055,36.3265,6.1859,0.5855,0.0641,"[42, 67, 1024]"
