Combo,Avg_Src_Acc,Avg_Src_Acc_STD,Avg_Src_MDE,Avg_Src_MDE_STD,Avg_Tgt_Acc,Avg_Tgt_Acc_STD,Avg_Tgt_MDE,Avg_Tgt_MDE_STD,Seeds_Detail
GeoSPA_1,94.0476,0.6235,0.0998,0.0031,36.3605,0.7167,0.9014,0.0141,"[42, 67, 1024]"
GeoSPA_2,93.8776,0.6122,0.0904,0.0188,26.2585,1.6369,1.0773,0.0766,"[42, 67, 1024]"
GeoSPA_3,92.7211,0.3117,0.1177,0.0046,26.0884,2.6635,0.9950,0.0669,"[42, 67, 1024]"
GeoSPA_4,94.2517,0.7239,0.0978,0.0187,28.7755,1.2786,1.1481,0.0371,"[42, 67, 1024]"
GeoSPA_1_2,96.7347,0.2700,0.0474,0.0074,33.2653,1.3344,0.8287,0.0607,"[42, 67, 1024]"
GeoSPA_1_3,95.1361,1.1240,0.0750,0.0214,40.2381,1.9743,0.7410,0.0167,"[42, 67, 1024]"
GeoSPA_1_4,97.2449,0.7358,0.0419,0.0143,41.3946,3.2177,0.7686,0.0329,"[42, 67, 1024]"
GeoSPA_2_3,96.6667,0.5034,0.0453,0.0038,33.0612,2.7608,0.7427,0.0251,"[42, 67, 1024]"
GeoSPA_2_4,96.7007,0.7926,0.0376,0.0088,33.1293,1.3929,0.8462,0.0285,"[42, 67, 1024]"
GeoSPA_3_4,96.0884,0.5802,0.0748,0.0089,31.0884,0.7167,0.9482,0.0776,"[42, 67, 1024]"
GeoSPA_1_2_3,97.6531,0.6207,0.0332,0.0095,46.3605,2.7311,0.5391,0.0206,"[42, 67, 1024]"
GeoSPA_1_2_4,98.5034,0.0589,0.0208,0.0024,42.1088,3.8307,0.5539,0.0260,"[42, 67, 1024]"
GeoSPA_1_3_4,97.6871,0.8184,0.0437,0.0120,45.0340,1.3001,0.6790,0.0487,"[42, 67, 1024]"
GeoSPA_2_3_4,98.0272,0.2568,0.0283,0.0026,35.4082,5.4875,0.6919,0.0799,"[42, 67, 1024]"
GeoSPA_1_2_3_4,98.4694,0.3679,0.0231,0.0049,46.1905,5.1238,0.5532,0.0504,"[42, 67, 1024]"

// testing workflow 拔掉標準差後訓練
GeoSPA_1,94.7959,0.6691,0.0840,0.0168,39.6939,1.3728,0.8921,0.0232,"[42, 67, 1024]"
GeoSPA_2,95.6122,0.8896,0.0733,0.0096,28.6054,2.0263,1.1488,0.0509,"[42, 67, 1024]"
GeoSPA_3,93.5034,0.8558,0.0988,0.0055,28.2653,4.1462,0.9197,0.0917,"[42, 67, 1024]"
GeoSPA_4,95.4422,0.9698,0.0728,0.0176,27.2789,2.6927,1.1567,0.0844,"[42, 67, 1024]"
GeoSPA_1_2,97.3129,0.1178,0.0396,0.0032,35.7483,3.6526,0.7907,0.0527,"[42, 67, 1024]"
GeoSPA_1_3,95.6803,1.4334,0.0616,0.0149,41.1905,2.5333,0.6985,0.0124,"[42, 67, 1024]"
GeoSPA_1_4,97.8231,0.5034,0.0268,0.0082,42.3129,0.1559,0.7661,0.0256,"[42, 67, 1024]"
GeoSPA_2_3,97.1429,0.2700,0.0414,0.0073,31.0884,1.5453,0.8396,0.0402,"[42, 67, 1024]"
