Combo,Avg_Src_Acc,Avg_Src_Acc_STD,Avg_Src_MDE,Avg_Src_MDE_STD,Avg_Tgt_Acc,Avg_Tgt_Acc_STD,Avg_Tgt_MDE,Avg_Tgt_MDE_STD,Avg_Fut_Acc,Avg_Fut_Acc_STD,Avg_Fut_MDE,Avg_Fut_MDE_STD,Seeds_Detail
DNN,99.7166,0.0839,0.0031,0.0011,34.8810,2.1697,0.7841,0.0686,30.2837,0.8726,0.8508,0.0280,"[42, 6767, 123456]"
DNN,99.7166,0.0839,0.0031,0.0011,34.8810,2.1697,0.7841,0.0686,31.4235,0.5632,1.0098,0.0687,"[42, 6767, 123456]"
DNN,99.7166,0.0839,0.0031,0.0011,34.8810,2.1697,0.7841,0.0686,21.8278,1.3901,1.1055,0.0320,"[42, 6767, 123456]"
DANN,98.7415,0.2568,0.0242,0.0085,33.5714,0.3679,0.8425,0.0967,29.8995,3.3563,0.9693,0.0648,"[42, 6767, 123456]"
DANN,98.7415,0.2568,0.0242,0.0085,33.5714,0.3679,0.8425,0.0967,26.9047,2.0003,1.1094,0.0808,"[42, 6767, 123456]"
DANN,98.7415,0.2568,0.0242,0.0085,33.5714,0.3679,0.8425,0.0967,25.2023,3.3051,1.0292,0.0855,"[42, 6767, 123456]"
CDAN,99.2857,0.1020,0.0090,0.0034,34.5918,1.4028,0.7811,0.0703,31.9029,2.4062,0.8120,0.0503,"[42, 6767, 123456]"
CDAN,99.2857,0.1020,0.0090,0.0034,34.5918,1.4028,0.7811,0.0703,27.1844,1.9807,1.0681,0.0766,"[42, 6767, 123456]"
CDAN,99.2857,0.1020,0.0090,0.0034,34.5918,1.4028,0.7811,0.0703,21.1694,5.7272,1.1820,0.0391,"[42, 6767, 123456]"
DAFI,98.0952,0.3280,0.0389,0.0034,35.9184,4.7654,0.9705,0.1222,31.5255,3.1253,1.1142,0.1555,"[42, 6767, 123456]"
DAFI,98.0952,0.3280,0.0389,0.0034,35.9184,4.7654,0.9705,0.1222,28.5792,1.5739,1.2375,0.0899,"[42, 6767, 123456]"
DAFI,98.0952,0.3280,0.0389,0.0034,35.9184,4.7654,0.9705,0.1222,24.5473,1.4852,1.1238,0.0270,"[42, 6767, 123456]"
FusionDNN,99.8413,0.0260,0.0018,0.0007,37.4887,1.6143,0.6965,0.0083,36.1017,1.6792,0.7360,0.0625,"[42, 6767, 123456]"
FusionDNN,99.8413,0.0260,0.0018,0.0007,37.4887,1.6143,0.6965,0.0083,33.1560,2.0061,0.9750,0.0590,"[42, 6767, 123456]"
FusionDNN,99.8413,0.0260,0.0018,0.0007,37.4887,1.6143,0.6965,0.0083,23.8032,3.0797,0.9836,0.0464,"[42, 6767, 123456]"
FusionDANN,98.9796,0.1020,0.0160,0.0093,41.1565,0.3280,0.7078,0.0563,37.8924,3.2449,0.7192,0.0393,"[42, 6767, 123456]"
FusionDANN,98.9796,0.1020,0.0160,0.0093,41.1565,0.3280,0.7078,0.0563,30.5811,3.1893,0.9835,0.1028,"[42, 6767, 123456]"
FusionDANN,98.9796,0.1020,0.0160,0.0093,41.1565,0.3280,0.7078,0.0563,24.3484,3.9583,1.0357,0.0148,"[42, 6767, 123456]"
FusionCDAN,98.8095,0.4713,0.0175,0.0062,43.4354,0.2568,0.6009,0.0222,38.1942,1.1293,0.6524,0.0309,"[42, 67, 1024]"
FusionCDAN,98.8095,0.4713,0.0175,0.0062,43.4354,0.2568,0.6009,0.0222,31.8634,3.4690,0.9157,0.1130,"[42, 67, 1024]"
FusionCDAN,98.8095,0.4713,0.0175,0.0062,43.4354,0.2568,0.6009,0.0222,23.6557,1.9298,0.9551,0.0658,"[42, 67, 1024]"
GeoSPA-Net,98.5374,0.5236,0.0241,0.0083,50.5442,2.2733,0.4654,0.0441,46.1665,3.6044,0.5672,0.0176,"[42, 67, 1024]"
GeoSPA-Net,98.5374,0.5236,0.0241,0.0083,50.5442,2.2733,0.4654,0.0441,34.9430,0.9908,0.8583,0.0259,"[42, 67, 1024]"
GeoSPA-Net,98.5374,0.5236,0.0241,0.0083,50.5442,2.2733,0.4654,0.0441,27.8909,3.4487,0.8694,0.0349,"[42, 67, 1024]"
