Timestamp,Label,SSID_1,BSSID_1,RSSI_1,Dist_mm_1,Std_mm_1,SSID_2,BSSID_2,RSSI_2,Dist_mm_2,Std_mm_2,SSID_3,BSSID_3,RSSI_3,Dist_mm_3,Std_mm_3,SSID_4,BSSID_4,RSSI_4,Dist_mm_4,Std_mm_4
1767084119603,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-68,3916,178,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,6650,219,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57,-1001,921,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,10244,100
1767084119801,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-65,4150,138,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,6494,292,MCSLab RTT AP3,b0:e4:d5:88:16:86,-59,-1006,1133,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,9196,1087
1767084120040,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-65,3955,286,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,7119,95,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,1395,356,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,10293,247
1767084120257,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-64,3994,343,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,7119,138,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,2231,801,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,10088,266
1767084120462,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-64,4033,199,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,7119,150,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57,1183,500,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,10498,180
1767084120675,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-64,4072,228,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,7041,67,MCSLab RTT AP3,b0:e4:d5:88:16:86,-55,558,982,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,10361,94
1767084120860,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-64,4111,132,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,6416,314,MCSLab RTT AP3,b0:e4:d5:88:16:86,-56,-772,1174,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,10234,165
1767084121057,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-64,4111,212,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,6728,154,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,-1045,1357,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,10293,166
1767084121278,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-68,3798,248,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,6796,667,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,-1241,1758,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,10351,226
1767084121494,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-66,4189,257,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,7031,88,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,409,1147,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-59,7835,1658
1767084121688,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-65,4072,464,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,6689,276,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61,47,1032,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-60,10005,291
1767084121881,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-66,4033,192,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,6728,257,MCSLab RTT AP3,b0:e4:d5:88:16:86,-59,-655,1675,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,10234,149
1767084122121,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-67,3681,375,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,6689,215,MCSLab RTT AP3,b0:e4:d5:88:16:86,-60,-479,1005,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,10205,1219
1767084122293,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-65,3720,139,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67,6767,88,MCSLab RTT AP3,b0:e4:d5:88:16:86,-59,-772,827,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-61,9976,355
1767084122511,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-65,3916,234,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,7060,110,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62,-245,935,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,9658,349
1767084122708,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-64,3955,206,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,6924,165,MCSLab RTT AP3,b0:e4:d5:88:16:86,-67,-264,900,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,9189,474
1767084122933,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-65,4189,133,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67,6924,71,MCSLab RTT AP3,b0:e4:d5:88:16:86,-66,-147,624,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,9658,376
1767084123111,1-1,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,3896,206,MCSLab RTT AP2,24:29:34:e1:ef:d4,-67,6796,1760,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61,-1006,1350,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-63,9001,662
