Timestamp,Label,Duration_ms,SSID_1,BSSID_1,RSSI_1,Dist_mm_1,Std_mm_1,Succ_1,Att_1,Rate_1
1767253400759,6-8,32,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,2698,2063,7,8,87.5
1767253400963,6-8,33,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64,2698,215,7,8,87.5
1767253401180,6-8,35,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58,912,1487,7,8,87.5
1767253401384,6-8,34,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58,2737,958,7,8,87.5
1767253401588,6-8,35,MCSLab RTT AP3,b0:e4:d5:88:16:86,-65,2669,108,7,8,87.5
1767253401800,6-8,41,MCSLab RTT AP3,b0:e4:d5:88:16:86,-65,2904,75,7,8,87.5
1767253402020,6-8,54,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64,2552,241,7,8,87.5
1767253402215,6-8,42,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64,2523,182,7,8,87.5
1767253402425,6-8,45,MCSLab RTT AP3,b0:e4:d5:88:16:86,-65,2464,138,7,8,87.5
1767253402633,6-8,46,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64,2405,215,7,8,87.5
1767253402843,6-8,48,MCSLab RTT AP3,b0:e4:d5:88:16:86,-65,2386,175,7,8,87.5
1767253403045,6-8,42,MCSLab RTT AP3,b0:e4:d5:88:16:86,-60,2698,4312,7,8,87.5
1767253403272,6-8,61,MCSLab RTT AP3,b0:e4:d5:88:16:86,-62,2698,1357,7,8,87.5
1767253403463,6-8,45,MCSLab RTT AP3,b0:e4:d5:88:16:86,-64,2552,62,7,8,87.5
1767253403677,6-8,51,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,2698,78,7,8,87.5
1767253403886,6-8,51,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58,2823,182,7,8,87.5
1767253404090,6-8,47,MCSLab RTT AP3,b0:e4:d5:88:16:86,-57,3204,1223,7,8,87.5
1767253404306,6-8,55,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61,2496,296,7,8,87.5
1767253404506,6-8,48,MCSLab RTT AP3,b0:e4:d5:88:16:86,-58,2523,3341,7,8,87.5
1767253404712,6-8,45,MCSLab RTT AP3,b0:e4:d5:88:16:86,-61,2640,1255,7,8,87.5
1767253404931,6-8,55,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,2620,59,7,8,87.5
1767253405130,6-8,46,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,2669,89,7,8,87.5
1767253405349,6-8,58,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,2640,125,7,8,87.5
1767253405540,6-8,42,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,2542,117,7,8,87.5
1767253405761,6-8,54,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,2620,187,7,8,87.5
1767253405970,6-8,56,MCSLab RTT AP3,b0:e4:d5:88:16:86,-63,2611,120,7,8,87.5
