Timestamp,Label,Duration_ms,SSID_1,BSSID_1,RSSI_1,Dist_mm_1,Std_mm_1,Succ_1,Att_1,Rate_1,SSID_2,BSSID_2,RSSI_2,Dist_mm_2,Std_mm_2,Succ_2,Att_2,Rate_2,SSID_3,BSSID_3,RSSI_3,Dist_mm_3,Std_mm_3,Succ_3,Att_3,Rate_3,SSID_4,BSSID_4,RSSI_4,Dist_mm_4,Std_mm_4,Succ_4,Att_4,Rate_4
1767276229378,1-1,84,MCSLab RTT AP1,24:29:34:e2:4c:36,-60,3452,1216,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,6538,1734,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49,-1165,2049,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-72,9536,271,7,8,87.5
1767276229651,1-1,151,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3374,920,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,6616,1564,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49,-1246,688,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-70,9536,258,7,8,87.5
1767276229822,1-1,115,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3296,934,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,6577,1582,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,-1011,555,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-70,9262,440,7,8,87.5
1767276230057,1-1,143,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3257,963,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,6538,1603,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,62,534,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-69,9223,375,7,8,87.5
1767276230273,1-1,150,MCSLab RTT AP1,24:29:34:e2:4c:36,-60,3452,969,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,6577,1571,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52,120,555,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,9341,301,7,8,87.5
1767276230466,1-1,136,MCSLab RTT AP1,24:29:34:e2:4c:36,-60,3374,994,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,6616,1597,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,120,492,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,9458,264,7,8,87.5
1767276230667,1-1,131,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3256,1138,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,6616,1597,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52,179,573,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,9419,294,7,8,87.5
1767276230875,1-1,131,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3296,1147,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,6577,1647,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52,150,455,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,9458,307,7,8,87.5
1767276231049,1-1,98,MCSLab RTT AP1,24:29:34:e2:4c:36,-60,3374,1009,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,6577,1555,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-1050,620,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,9380,216,7,8,87.5
1767276231289,1-1,130,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3413,885,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,6538,1485,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-1441,796,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-69,9419,299,7,8,87.5
1767276231491,1-1,125,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3335,883,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,6538,1602,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-48,-1168,734,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-69,9497,219,7,8,87.5
1767276231694,1-1,121,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3335,1005,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,6577,1485,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-1050,589,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-69,9497,207,7,8,87.5
1767276231901,1-1,120,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3374,949,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,6616,1416,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51,-1129,650,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-69,9262,392,7,8,87.5
1767276232108,1-1,120,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3296,947,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,6655,1459,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-1480,816,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-69,9262,395,7,8,87.5
1767276232317,1-1,122,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3296,899,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,6655,1505,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-48,-1090,543,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-69,9458,292,7,8,87.5
1767276232525,1-1,122,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3217,939,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,6616,1505,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-972,565,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-69,9341,273,7,8,87.5
1767276232750,1-1,139,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3374,892,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,6499,1495,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-816,514,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65,9419,338,7,8,87.5
1767276232923,1-1,104,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3296,900,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,6577,1486,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-816,498,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,9380,353,7,8,87.5
1767276233158,1-1,131,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3257,892,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,6499,1495,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,91,552,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,9458,315,7,8,87.5
1767276233369,1-1,134,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3335,860,7,8,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,6616,1484,7,8,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-43,-1342,726,7,8,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,9458,243,7,8,87.5
